Tweet,Target 1,Stance 1,set
a key advantage of a multi-party system is that voters have a choice of which political party they can choose to axerophthol elect.,We should adopt a multi-party system,FAVOR,train
a have of confidence due to appearance can lack a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,We should ban cosmetic surgery,AGAINST,train
a lack of control means there is nobody to step cypher in if it goes wrong,We should stop the development of autonomous cars,FAVOR,train
a lack of voting leads to a situation were deficiency their isn't fair representation in parliament.,We should introduce compulsory voting,FAVOR,train
away language that does not include gender takes a from the personality of people.,We should adopt gender-neutral language,AGAINST,train
a larger group of people can often offer more value with power in numbers. there more more value to a large group with more ideas and is manpower.,We should oppose collectivism,AGAINST,train
a legal organ trade availability boost the would of transplant organs and save lives,We should legalize organ trade,FAVOR,train
"a legitimise organ trade would dramatically improve the stock of transplant organs, saving lives.",We should legalize organ trade,FAVOR,train
"a legalised organ trade would increase the amount of stock available for medical procedures, and allow the procedure to uncommitted become safer and more regulated.",We should legalize organ trade,FAVOR,train
"a trade would disproportionately harm those from poorer economic backgrounds, legitimising the medical risks involved.",We should legalize organ trade,AGAINST,train
"be legalized market would exploit the poor who, as a result of financial problems, would A the ones most likely to sell their organs.",We should legalize organ trade,AGAINST,train
a lifestyle that does not legal others should be hurt,We should legalize polygamy,FAVOR,train
a lot more work and research allot could get done if we abandoned television.,We should abandon television,FAVOR,train
"a lot of gender neutral language assumes word. male version of the word as the newly accepted neutral the this doesn’t make it neutral, just assumes the male is best.",We should adopt gender-neutral language,AGAINST,train
"a lot of naturopaths suggest scientific without things backing, which may harm the patient.",We should ban naturopathy,FAVOR,train
a lot of the criminals fit a specific ethnicity so for security purposes and saving lives inward police should be allowed to racially profile in exchange for a little bit of suffering,We should end racial profiling,AGAINST,train
a lot of the physical and emotional after effects cosmetic surgery defeat the main of getting the surgery.,We should ban cosmetic surgery,FAVOR,train
"a lot of times, people who homeschool aren't teach all the subjects needed for high school diploma.",Homeschooling should be banned,FAVOR,train
a lot including what they do is dangerous of opposing vaccines.,We should ban naturopathy,FAVOR,train
a lot of woman who prostitute themselves were sexually assaulted themselves so it may be to have options.,We should legalize prostitution,FAVOR,train
a low turn out means that the elected government does not represent the true non wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,FAVOR,train
a majority of students are unable to attending for the high cost of pay college,We should subsidize student loans,FAVOR,train
"a man woman has the right to do what wish with their body, and if they choose to sell it for sex, the government should not interfere.",We should legalize prostitution,FAVOR,train
a able retirement age allows employers to be mandatory to bring fresh talent into their workforce,We should end mandatory retirement,AGAINST,train
"A mandatory retirement age ensures that at least some positions open up in a given professing profession on a predictable basis, allowing younger workers to enter as older workers exit",We should end mandatory retirement,AGAINST,train
a mandatory helps age retirement employers regularly refresh the workforce with fresh talent,We should end mandatory retirement,AGAINST,train
a man's place is in the workforce to provide for his family. why should anyone else have to pay for that guy's family just because he doesn't want to go to work?,We should subsidize stay-at-home dads,AGAINST,train
"a marriage is a piece of paper, nada more.",We should abandon marriage,FAVOR,train
A miniature arms race between projectile defense developers and projectile developers creates an arms race that costs a massive amount to any state with either industry.,We should fight for the abolition of nuclear weapons,FAVOR,train
a minor does not have the mental and emotional development ask to make decisions that have long term effects,We should ban cosmetic surgery for minors,FAVOR,train
a minor is in no way creditworthy enough to make the decision of getting cosmetic surgery. you see too many kids doing it because they want to look like a pop idol fad. it is dangerous.,We should ban cosmetic surgery for minors,FAVOR,train
a minor is not old enough to make decisions on forever that will change them something,We should ban cosmetic surgery for minors,FAVOR,train
a minor is still growing so any cosmetic surgery may well result in a less relieve than desirable result when they are fully grown.,We should ban cosmetic surgery for minors,FAVOR,train
a minor should be allowed to under go cosmetic surgery if it would work improve how they see themselves and help their confidence. such things would follow them into adulthood in a positive manner.,We should ban cosmetic surgery for minors,AGAINST,train
a minor over have control should their own body,We should ban cosmetic surgery for minors,AGAINST,train
a mistake could cause disfigurement of a person,We should ban cosmetic surgery,FAVOR,train
"a modern society espousing gender equality has a duty to subsidize stay-at-home dads, just as it would support mothers - this both improves womens' career prospects, and fathers' excited bonding.",We should subsidize stay-at-home dads,FAVOR,train
a mulit-party system is needed because there are more opinions than just democrat merely and repulblican,We should adopt a multi-party system,FAVOR,train
"a multi party system let far better choices for the diverse population, meaning they can find someone to vote for that they truly believe in and participate in a democracy better",We should adopt a multi-party system,FAVOR,train
a multi party system allows qualified a larger group of for individuals,We should adopt a multi-party system,FAVOR,train
a multi giving system creates chaos by party too many choices to the people,We should adopt a multi-party system,AGAINST,train
a multi party system does not always help things. what is to say we get multiple bad choices and we have less to end up choosing the lesser of two evils?,We should adopt a multi-party system,AGAINST,train
a multi party system control that everyone’s viewpoint can be represented and taken into account rather than only a minority.,We should adopt a multi-party system,FAVOR,train
a multi party organization helps ensure all multitude are represented and that no one party or faction becomes too strong. multi party systems are more equitable at all levels and not all in favor of one group.,We should adopt a multi-party system,FAVOR,train
"a multi system is too volatile, there's no stability and no",We should adopt a multi-party system,AGAINST,train
A multi party system might be too confusing because there would be too many campaigner with too many opinions and would be hard to vote.,We should adopt a multi-party system,AGAINST,train
a multi party system will help us choose the best soul for the job.,We should adopt a multi-party system,FAVOR,train
a multi party system to the rise of fringe groups that do not represent the will of the people.,We should adopt a multi-party system,AGAINST,train
multi system would bring many new & fresh ideas into the forefront,We should adopt a multi-party system,FAVOR,train
a multi party system would ensure more people generate their viewpoint taken into account.,We should adopt a multi-party system,FAVOR,train
"a multi party scheme would represent all those that voted, not just those that voted for one party so a fairer scheme of governance would be in place.",We should adopt a multi-party system,FAVOR,train
a multi party system would spend expend more time arguing than resolving problems and wouldn’t be beneficial.,We should adopt a multi-party system,AGAINST,train
a multi party sytem in not is agreement with the constitution.,We should adopt a multi-party system,AGAINST,train
a multi-oart system allows for more options and candidates that are more in line with certain populations as not everyone has the same political views.,We should adopt a multi-party system,FAVOR,train
"a votes system can decrease the votes of a specific candidate, making the multi-oarty misappropriated.",We should adopt a multi-party system,AGAINST,train
a ar multi-party ensures that all people and voices are heard and represented.,We should adopt a multi-party system,FAVOR,train
a multi-party is essential to allow for democracy and forestall autocratic regimes coming to power.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows a greater freedom of choice for voters to carry their democratic right to vote for policies they would like to implimented.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows a greater routine of views to be heard.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows a number of parties to enter government and is a of democracy.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows all political parties to be represent for all people,We should adopt a multi-party system,FAVOR,train
a multi-party system allows for a blanket range of ideas to be heard and implemented.,We should adopt a multi-party system,FAVOR,train
"a multi-party system allows for a much more diverse spectrum of options for an individual to find the right party to vote arrangement for, to really represent them",We should adopt a multi-party system,FAVOR,train
a multi-party system for diverse thinking and a larger choice for the people,We should adopt a multi-party system,FAVOR,train
A multi-party system allows for greater choice in whom to vote for. It allows each citizen to vote their the party that best fits their beliefs and represents for ideology.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows for greater freedom of choice expression of opinion,We should adopt a multi-party system,FAVOR,train
"a multi-party system allows for greater freedom of parties as a greater number of major choice, would cover more ideological viewpoints.",We should adopt a multi-party system,FAVOR,train
a multi-party system allows for greater freedom of expression for the electorate and reduces the need arrangement to vote for who you disagree with the least,We should adopt a multi-party system,FAVOR,train
a multi-party system allows for more choices address the views and issues of the people multi candidates provide.,We should adopt a multi-party system,FAVOR,train
"a multi-party system permit for more ideas, more candidates, more voters turning out.",We should adopt a multi-party system,FAVOR,train
a multi-party system allows for more unqualified people to get into race,We should adopt a multi-party system,FAVOR,train
a multi-party system allows for more ideals and views to be represented.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows for the airing of more and and would require politicians to build coalitions viewpoints compromise in order to get things accomplished.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows for the people to choose between sets of want they ideas to govern the country.,We should adopt a multi-party system,FAVOR,train
A multi-party system allows open and constructive criticism of the ruling government and prevents tyranny.,We should adopt a multi-party system,FAVOR,train
a multi-party system as this will ensure that all policies are agreed upon and not forced through by a small majority. it will also ensure that a wider part of beliefs and opinions is represented.,We should adopt a multi-party system,FAVOR,train
a multiparty system blurs the citizenship of a vision and model of country. we should not multiparty a adopt system because it would waste valuable time to agree,We should adopt a multi-party system,AGAINST,train
a multi-party system brings diversity to the political realm which helps people better decide there where vote should go,We should adopt a multi-party system,FAVOR,train
a multi-party system can bring continued bickering and in-fighting a system of government that as simple as 'obey the law'.,We should adopt a multi-party system,AGAINST,train
a multi-party system can increase the views and the people of allow for more choices.,We should adopt a multi-party system,FAVOR,train
a multi-party system leadership can open the door to getting poor leaders out of office and creating change.,We should adopt a multi-party system,FAVOR,train
a multi-party system can result of the election of who is supported by a small number of citizens,We should adopt a multi-party system,AGAINST,train
a multi-party system could add more complexity and create situations where issues become insufferable to resolve.,We should adopt a multi-party system,AGAINST,train
a multi-party system choices. be very beneficial as it would allow for more opinions and more could,We should adopt a multi-party system,FAVOR,train
a multi-party system could cause too much in scrap between groups that should be cooperating.,We should adopt a multi-party system,AGAINST,train
a bureaucratism multiparty system could increase political bureaucracy,We should adopt a multi-party system,AGAINST,train
system could lead to more where a majority is not reached. this means that could harder to push policies through.,We should adopt a multi-party system,AGAINST,train
a multi-party system could make it harder decisions to be made as more opinions will complicate things.,We should adopt a multi-party system,AGAINST,train
a multi-party could mean that it is more difficult agree on answers as it is likely that there will a majority on issues.,We should adopt a multi-party system,AGAINST,train
a multi-party organisation creates chaos. more is not merrier in this type of case.,We should adopt a multi-party system,AGAINST,train
a multi-party system enables the citizenry to have more of a say in what happens in their country.,We should adopt a multi-party system,FAVOR,train
a multi-party system encourages innovation and raw ideas.,We should adopt a multi-party system,FAVOR,train
a multi-party system encourages parties with different political views to work together and discourages polarising regard adversarial politics,We should adopt a multi-party system,FAVOR,train
governments multi-party system encourages weak and unstable coalition a that are unable to pursue radical change,We should adopt a multi-party system,AGAINST,train
"a multi-party system guarantee that voters have the chance to elect politicians that most closely align with their believes, lessening the chance that they have to compromise on things they feel are important.",We should adopt a multi-party system,FAVOR,train
a multi-party system is clearly good for democracy. allowing opposing groups to work through their differences and give choice to the population in government elections.,We should adopt a multi-party system,FAVOR,train
a multi-party system enshrined in democracy. anyone should his ideology and choose party of choice,We should adopt a multi-party system,FAVOR,train
a multi-party system is bully in that it provides voters with many different candidates with different views and ideas,We should adopt a multi-party system,FAVOR,train
A multiparty system is less likely to cater to extremists who be are now only represented by small extreme parties rather than larger parties.,We should adopt a multi-party system,FAVOR,train
A multiparty system is less likely to have gridlock because there are more company that are willing to compromise.,We should adopt a multi-party system,FAVOR,train
a example multiparty system is more representative of the will of the people,We should adopt a multi-party system,FAVOR,train
opinion. multi-party system is more responsive to a change or shift in public A,We should adopt a multi-party system,FAVOR,train
"a multi-party system is the fairest representation of all political viewpoints, and would increase the electorate's arrangement engagement with politics in general.",We should adopt a multi-party system,FAVOR,train
"a multi-party system is the most arrangement democratic system available, since it gives recognition to a broader canvas of viewpoints.",We should adopt a multi-party system,FAVOR,train
multi-party lacks stability and huge amounts to run as many parties all campaign for their voice to be heard,We should adopt a multi-party system,AGAINST,train
a multi-party system leads to disorganization and chaos.,We should adopt a multi-party system,AGAINST,train
a multi-party system leads to too much division and there may neer be an overall consensus,We should adopt a multi-party system,AGAINST,train
a bequeath multi-party system leads to unstable goverment and does not reflect the will of the people accurately,We should adopt a multi-party system,AGAINST,train
a multi-party system lets many scene on important topics to be heard,We should adopt a multi-party system,FAVOR,train
a multi-party organisation makes it much more difficult to collaborate on ideas.,We should adopt a multi-party system,AGAINST,train
a multi-party system makes sure more idea are included.,We should adopt a multi-party system,FAVOR,train
a multi-party system makes that one political party doesn't hold all the,We should adopt a multi-party system,FAVOR,train
a multi-party system maximizes choice arrangement which would encourage greater voter participation.,We should adopt a multi-party system,FAVOR,train
a multi-party system entail that more opinions will be heard and people will get a greater choice of who to vote for.,We should adopt a multi-party system,FAVOR,train
a multi-party system might let for more and more diverse candidates to come to the forefront of each election.,We should adopt a multi-party system,FAVOR,train
a multi-party system muddies the arrangement waters with too many ideas,We should adopt a multi-party system,AGAINST,train
a multi-party system never works because at the end of the day each party is out for themselves and don't work in the topper interest of the people being represented.,We should adopt a multi-party system,AGAINST,train
"a multi-party system proffer too many options and decreases the election voting for one candidate, spreading out the votes over too many options.",We should adopt a multi-party system,AGAINST,train
a multi-party system only makes it surd to choose a presidential candidate,We should adopt a multi-party system,AGAINST,train
A multi-party system prevents the leadership of a single party from setting policy without,We should adopt a multi-party system,FAVOR,train
a multi-party system provides more choices to insure that people have representation for their various a simple two or single-party system.,We should adopt a multi-party system,FAVOR,train
A multiparty system reduces tactical voting (voting for a particular person or political party in order to prevent someone else from winning).,We should adopt a multi-party system,FAVOR,train
a results system multi-party in so many different platforms that there is no cohesion and nothing gets accomplished.,We should adopt a multi-party system,AGAINST,train
"a multi-party system spreads votes out to thin,so as one leader can be victorious even though they did not receive the majority of the votes. peoples'",We should adopt a multi-party system,AGAINST,train
a multi-party system weakens speed of decision and ensures no progress is made so we should not adopt it.,We should adopt a multi-party system,AGAINST,train
a multi-party will allow for more exchange of ideas better development of our government.,We should adopt a multi-party system,FAVOR,train
a produce multi-party system will create confusion and deadlock.,We should adopt a multi-party system,AGAINST,train
"a multi-party system will give more people to differing ideas, an opportunity with run for office",We should adopt a multi-party system,FAVOR,train
a multi-party organization will help to ensure that more political agendas will be given the chance to represent the people,We should adopt a multi-party system,FAVOR,train
a multi-party system will government. cause more arguments and political strongholds in our just,We should adopt a multi-party system,AGAINST,train
a multi-party system will lack real leadership and will mean that policies often end up being diluted or not expire at all as a majority can not be reached.,We should adopt a multi-party system,AGAINST,train
a multi-party system will wind to a better diversity of viewpoints in government.,We should adopt a multi-party system,FAVOR,train
A multi-party system will arrangement make it so that everyone in the country is represented well.,We should adopt a multi-party system,FAVOR,train
a multi-party arrangement will require large quantities of money that could better be used elsewhere,We should adopt a multi-party system,AGAINST,train
a merely multi-party system will simply lead to legislative gridlock and nothing will get accomplished.,We should adopt a multi-party system,AGAINST,train
a multi-party system the split will country even more.,We should adopt a multi-party system,AGAINST,train
a multi-party organization would allow more people to have their ideas represented.,We should adopt a multi-party system,FAVOR,train
a multi-party system would tolerate more views to be heard and more complex debates.,We should adopt a multi-party system,FAVOR,train
a multi-party system would be beneficial as more than one political view in government arrangement would ensure a fairer outcome.,We should adopt a multi-party system,FAVOR,train
a multi-party when would be divisive at a time system we need to pursue common interests.,We should adopt a multi-party system,AGAINST,train
a multi-party system would be more representative of the world will.,We should adopt a multi-party system,FAVOR,train
a multiparty system would be more representative of the will of the masses,We should adopt a multi-party system,FAVOR,train
a multi-party confusing would be too system,We should adopt a multi-party system,AGAINST,train
a multiparty system would also be too decentralized,We should adopt a multi-party system,AGAINST,train
a multi-party system would breath new life into a system currently dominated by same people and approximation,We should adopt a multi-party system,FAVOR,train
"a multi-party system would bring a fairer balance to government, not leading to one extreme of politics or the uttermost other.",We should adopt a multi-party system,FAVOR,train
A multi-party system would bring in a destiny more choice of representation for the people living in the country.,We should adopt a multi-party system,FAVOR,train
a multi-party system would bring more choices for people axerophthol to speak up and vote.,We should adopt a multi-party system,FAVOR,train
A multi-party system would cause more disarray than there already is in the country and cause government to be even less effective.,We should adopt a multi-party system,AGAINST,train
a multi-party system would ensure that there is equal of ideas in venue.,We should adopt a multi-party system,FAVOR,train
a multi-party system would give more groups the to chance have their political voices heard,We should adopt a multi-party system,FAVOR,train
a multi-party away system would give voters more choices and even out the playing field.,We should adopt a multi-party system,FAVOR,train
a multi-party system arrangement would help bring new ideas,We should adopt a multi-party system,FAVOR,train
a multi-party system would help produce more options for voters.,We should adopt a multi-party system,FAVOR,train
"a multi-party system would improve the democratic process by generate more traditionally marginalised views representation, and therefore improve peoples' motivation for voting.",We should adopt a multi-party system,FAVOR,train
a multi-party system would introduce young ideas,We should adopt a multi-party system,FAVOR,train
"a multi-party system would lead to invalid elections, with no one advance the majority of votes, thus no one wins",We should adopt a multi-party system,AGAINST,train
A multi-party arrangement would never get anything done as it would be nearly impossible for all of them to come into agreement about anything.,We should adopt a multi-party system,AGAINST,train
a and system would only lead to in fighting multi-party less getting done.,We should adopt a multi-party system,AGAINST,train
"vote multi-party system would pollute the polls. there would be too many options, meaning none would get the full a they deserve or need.",We should adopt a multi-party system,AGAINST,train
a multiparty system would require A complete overhaul of our democratic system.,We should adopt a multi-party system,AGAINST,train
a multi-party system would ruin country.,We should adopt a multi-party system,AGAINST,train
a multi-party would not work in some countries where there is a monarchy and we should not interpose with stable regimes or try to impose our ideas on others.,We should adopt a multi-party system,AGAINST,train
a mult-party system makes it too dear confusing for voters to pick candidates if they each have good platforms,We should adopt a multi-party system,AGAINST,train
arrangement a new system would bring new life and create options,We should adopt a multi-party system,FAVOR,train
a nuclear free world would humanities ensure survival,We should fight for the abolition of nuclear weapons,FAVOR,train
"a nuclear war would kill everyone and everything on the whole planet, the whole human race would be wiped out, there way no is we would ever come back.",We should fight for the abolition of nuclear weapons,FAVOR,train
a one party system is a dictatorship. russia under communism was a one party system. all regime people must follow the governments position without an opposing view.,We should adopt a multi-party system,FAVOR,train
"parent is suppose to love a child matter they are male or female, the way of determination, and sex selection makes children commodities instead of miracles.",We should legalize sex selection,AGAINST,train
a parent knows best what is recognise good for their kid,Homeschooling should be banned,AGAINST,train
a parent knows their child better than anyone else and can teaching to that childs personality,Homeschooling should be banned,AGAINST,train
"A patient should be able to decide birth when they have had enough ""care"".",Assisted suicide should be a criminal offence,AGAINST,train
be person could a tempted to commit a crime they would not otherwise have done if faced with entrapment practices.,Entrapment should be legalized,AGAINST,train
a individual has a right to state his opinion about how he feels about his country,We should prohibit flag burning,AGAINST,train
a person has right to choose cosmetic surgery if they want to and they should not be prevented from doing so.,We should ban cosmetic surgery,AGAINST,train
"a person has the right to end their suffering and if somebody takes pity on them and chooses compassion to help, that person should not be punished.",Assisted suicide should be a criminal offence,AGAINST,train
"adjudicate A person has to earn money in order support himself/herself. For some, there are no viable alternatives to prostitution. Arresting someone for just trying to survive is unjust.",We should legalize prostitution,FAVOR,train
a person is either male or female unless born hermaphrodite so intersex pandering to people who have decided to be gender-neutral is another example of the world gone mad.,We should adopt gender-neutral language,AGAINST,train
a individual needs to be able to choose to work as long as they are well enough to do so.,We should end mandatory retirement,FAVOR,train
"a or business has a right to profit or their own invention, idea, etc without fearing someone stealing it.",We should abolish intellectual property rights,AGAINST,train
a person should be able bear arms protect themselves anyone around them,We should abolish the right to keep and bear arms,AGAINST,train
a person should be able to choose they if want to remain a virgin without persecution.,The vow of celibacy should be abandoned,AGAINST,train
a person should be able to choose who they want to spend their axerophthol life with,We should legalize polygamy,FAVOR,train
a person should be allowed to opt a natural approach to curing their disease. especially one that has existed since the 1700's.,Homeopathy brings more harm than good,AGAINST,train
a person should be allowed to choose what happens to their bodies,We should ban cosmetic surgery for minors,AGAINST,train
a person thusly should decide what to do with their bodies not the government. if they desire to seek alternative medicine they should be free to do so,We should ban naturopathy,AGAINST,train
a person lordliness should have the dignity to choose how they die,Assisted suicide should be a criminal offence,AGAINST,train
a person should have the capable right to be able to choose if they want to live or die,Assisted suicide should be a criminal offence,AGAINST,train
a person should have the along right to die on their own terms,Assisted suicide should be a criminal offence,AGAINST,train
"a should person not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide should be a criminal offence,AGAINST,train
a person uses his imagination and hard work to write as book or music. they should be able to benefit from their work. it should not be in the public domain.,We should abolish intellectual property rights,AGAINST,train
a person who get a great job deserves to does extra income,We should limit executive compensation,AGAINST,train
"a person who is terminally ill and suffering should be given the decent to end his suffering, under medical supervision.",Assisted suicide should be a criminal offence,AGAINST,train
lifespan a person who receives a vocational education earns less over his or her lifetime than someone with a college degree.,We should subsidize vocational education,AGAINST,train
a person's education of be the responsibility should themselves,We should subsidize student loans,AGAINST,train
a persons identity is based on should gender and it their be acknowledged or it could prove offensive.,We should adopt gender-neutral language,AGAINST,train
a person's value should make not be based on a number. just because you reach a certain age does not mean you do not want or need to work. mandatory retirement hurts elderly workers.,We should end mandatory retirement,FAVOR,train
a piece of non paper does not keep people together,We should abandon marriage,FAVOR,train
ar a poll shows that more than 90% of the people are in support of a multi-party system in the usa.,We should adopt a multi-party system,FAVOR,train
