Tweet,Target 1,Stance 1,set
"A judge should be allowed to examine a crime and the situation to which the person was subjected in respect of his or her acts, since the penalty should be determined in respect of an individual situation.",We should limit judicial activism,AGAINST,train
a judge should be allowed to make decisions in certain situations and circumstances and to judge on the basis of the information and questions presented rather than on a strict and generalised standard.,We should limit judicial activism,AGAINST,train
A judge should follow the law rather than the opinion because they are considered the highest authority to judge the laws they honor to serve and defend.,We should limit judicial activism,FAVOR,train
One of the main advantages of a multi-party system is that voters have the choice of the political party they can choose to elect.,We should adopt a multi-party system,FAVOR,train
a lack of confidence due to appearance can have a paralysing impact on the life of the peacock and aesthetic surgery can help reduce this.,We should ban cosmetic surgery,AGAINST,train
a lack of control means that there is no one to intervene if it goes wrong,We should stop the development of autonomous cars,FAVOR,train
a lack of vote leads to a situation if their representation in Parliament is not fair.,We should introduce compulsory voting,FAVOR,train
"a language that does not include sex, that deprives people of their personality.",We should adopt gender-neutral language,AGAINST,train
A larger group of people can often offer more value with power in number. There is more value for a large group with more ideas and more workforce.,We should oppose collectivism,AGAINST,train
legal trade in organs would increase the availability of transplant organs and save lives,We should legalize organ trade,FAVOR,train
"Legalized trade in organs would significantly improve the stock of transplanted organs, saving lives.",We should legalize organ trade,FAVOR,train
legalized trade in organs would increase the stock available for medical procedures and would make the procedure safer and more regulated.,We should legalize organ trade,FAVOR,train
"Legalised trade would disproportionately harm those from less-favoured economic backgrounds, thus legitimising the enormous medical risks involved.",We should legalize organ trade,AGAINST,train
"A legalized market would exploit the poor, who, as a result of financial problems, would be the most likely to sell their organs.",We should legalize organ trade,AGAINST,train
a way of life that does not hurt others should be legal,We should legalize polygamy,FAVOR,train
Much more work and research could be done if we abandon television.,We should abandon television,FAVOR,train
"a lot of neutral sex language assumes the male version of the word as the newly accepted neutral word. this does not make it neutral, just assumes that the male is the best.",We should adopt gender-neutral language,AGAINST,train
"Many naturopathics suggest things without scientific support, which can harm the patient.",We should ban naturopathy,FAVOR,train
"Many criminals adapt to specific ethnic background, so for safety reasons and saving lives, the police should be allowed to racially profile in exchange for some suffering",We should end racial profiling,AGAINST,train
many times physical and emotional effects after cosmetic surgery defeat the main purpose of surgery.,We should ban cosmetic surgery,FAVOR,train
"Many times, people who have studied at home are not qualified to teach all the subjects needed for a high school diploma.",Homeschooling should be banned,FAVOR,train
"Many of what they do is dangerous, including opposite vaccines.",We should ban naturopathy,FAVOR,train
"Many women who prostitute have been sexually assaulted, so it would be better to have better options.",We should legalize prostitution,FAVOR,train
a low participation rate means that the elected government does not represent the country's true wishes. making voting compulsory would mean that an elected government had a real mandate.,We should introduce compulsory voting,FAVOR,train
a majority of students cannot pay the high cost of their education,We should subsidize student loans,FAVOR,train
"A man or woman has the right to do what he wants with his body, and if he chooses to sell it for sexual reasons, the government should not interfere.",We should legalize prostitution,FAVOR,train
a mandatory retirement age allows employers to bring new skills to their workforce,We should end mandatory retirement,AGAINST,train
"A compulsory retirement age ensures that at least certain jobs are opened in a given profession on a predictable basis, allowing younger workers to enter as older workers leave",We should end mandatory retirement,AGAINST,train
a mandatory retirement age helps employers to regularly refresh the workforce with new talents,We should end mandatory retirement,AGAINST,train
A man is in place of the labour force to support his family. Why should someone pay for this guy's family just because he doesn't want to go to work?,We should subsidize stay-at-home dads,AGAINST,train
"A wedding is a piece of paper, nothing more.",We should abandon marriage,FAVOR,train
A miniature arms race between missile defence developers and missile developers creates an arms race that costs a huge sum to any state with either industry.,We should fight for the abolition of nuclear weapons,FAVOR,train
a minor does not have the mental and emotional development necessary to make decisions that have long-term effects,We should ban cosmetic surgery for minors,FAVOR,train
a minor is not in any way responsible enough to make the decision to get an aesthetic surgery. you see too many children doing it because they want to look like a pop idol mode. it's dangerous.,We should ban cosmetic surgery for minors,FAVOR,train
a minor is not old enough to make decisions about something that will change them forever,We should ban cosmetic surgery for minors,FAVOR,train
a minor is still growing so any cosmetic surgery can well lead to a less than desirable result when they are fully grown.,We should ban cosmetic surgery for minors,FAVOR,train
a minor should be allowed to undergo cosmetic surgery if it would improve the way they see themselves and help their confidence. Such things would follow them in adulthood in a positive way.,We should ban cosmetic surgery for minors,AGAINST,train
a minor should have control of his own body,We should ban cosmetic surgery for minors,AGAINST,train
an error could cause a permanent disfigurement of a person,We should ban cosmetic surgery,FAVOR,train
"A modern society that advocates gender equality has a duty to subsidize fathers who stay at home, just as it would support mothers - this improves women's career prospects and the emotional ties of fathers.",We should subsidize stay-at-home dads,FAVOR,train
a system of partisanism is necessary because there are more opinions than the Democrat and the Republican,We should adopt a multi-party system,FAVOR,train
"a multi-party system allows for a much better choice of the diverse population, which means that they can find someone to vote that they really believe and participate in a better democracy",We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system allows a larger group of qualified people,We should adopt a multi-party system,FAVOR,train
a multi-party system creates chaos by giving the people too much choice,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system doesn't always help things. What does it mean that we get several bad choices and we have to end up choosing the least of two evils?,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system ensures that the views of each person can be represented and taken into account rather than a single minority.,We should adopt a multi-party system,FAVOR,train
A multi-party system helps ensure that all people are represented and that no party or faction becomes too strong. Multi-party systems are more equitable at all levels and not all in favour of a group.,We should adopt a multi-party system,FAVOR,train
"a multi-party system is too volatile, there is no stability and no coherence",We should adopt a multi-party system,AGAINST,train
A multi-party system could be too confused because there would be too many candidates with too many opinions and it would be difficult to vote.,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system will help us choose the best person for the job.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system will lead to the rise of marginal groups that do not represent the will of the people.,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system would bring many new ideas and ideas in the vanguard,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system would allow more people to take their views into account.,We should adopt a multi-party system,FAVOR,train
"a multi-party system would represent all those who voted, and not just those who voted for a party, so that a more equitable governance system would be in place.",We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system would spend more time discussing than solving problems and would not be beneficial.,We should adopt a multi-party system,AGAINST,train
a multi-party system disagrees with the constitution.,We should adopt a multi-party system,AGAINST,train
"A multi-oart system allows for more options and candidates to be available in harmony with some populations, as not everyone has the same political opinions.",We should adopt a multi-party system,FAVOR,train
"a multi-oarty system can reduce the votes of a specific candidate, which means that the votes are diverted.",We should adopt a multi-party system,AGAINST,train
a multi-stakeholder ensures that all persons and voices are heard and represented.,We should adopt a multi-party system,FAVOR,train
a multi-party is essential to enable democracy and prevent autocratic regimes from taking power.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows voters to express their democratic right to vote for policies they wish to implement.,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system allows for a greater number of views.,We should adopt a multi-party system,FAVOR,train
A multi-party system allows a number of parties to enter the government and is a reference point for democracy.,We should adopt a multi-party system,FAVOR,train
a multi-party system allows all political parties to be represented for all,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system allows a wide range of ideas to be heard and implemented.,We should adopt a multi-party system,FAVOR,train
"a multi-party system allows a much more diversified range of options for a person to find the right party to vote, to really represent them",We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system allows for a diversified reflection and a wider choice for people,We should adopt a multi-party system,FAVOR,train
"A multi-party system makes it easier to choose who to vote for, and allows every citizen to vote for the party that best matches his or her beliefs and represents his or her ideology.",We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system allows greater freedom of choice and expression of opinion,We should adopt a multi-party system,FAVOR,train
"A multi-party system allows for greater freedom of choice, as more large parties would cover more ideological views.",We should adopt a multi-party system,FAVOR,train
a multi-party system allows greater freedom of expression for the electorate and reduces the need to vote for those for whom you disagree with the least,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system allows for more choices to be made to respond to the opinions and issues of the people that multiple candidates provide.,We should adopt a multi-party system,FAVOR,train
"a multi-party system allows more ideas, more candidates, more voters to take place.",We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system allows more unskilled people to enter the race,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system allows for more views and ideals.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system allows for more views and would require politicians to build coalitions and compromises to achieve things.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system allows people to choose between sets of ideas that they want to govern the country.,We should adopt a multi-party system,FAVOR,train
A multi-party system allows open and constructive criticism of the government in power and prevents tyranny.,We should adopt a multi-party system,FAVOR,train
"a multi-stakeholder system, which will ensure that all policies are agreed and not forced by a small majority, will also ensure the representation of a wider part of beliefs and opinions.",We should adopt a multi-party system,FAVOR,train
a multi-party system blurs citizenship of a vision and a model of countries. we should not adopt a multi-party system because it would be a waste of valuable time to agree,We should adopt a multi-party system,AGAINST,train
"a multi-stakeholder system brings diversity in the political field, which helps people better decide where the vote should go",We should adopt a multi-party system,FAVOR,train
"A multi-party system can lead to endless internal strife and fighting to a system of government that should be as simple as ""obeying the law"".",We should adopt a multi-party system,AGAINST,train
A multi-stakeholder system can increase people's opinions and allow for more choices.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system can open the door to the exit of poor leaders and the creation of change.,We should adopt a multi-party system,FAVOR,train
a multi-party system can result from the election of a person who is supported by a small number of citizens,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system could add more complexity and create situations where problems become impossible to solve.,We should adopt a multi-party system,AGAINST,train
A multi-stakeholder system could be very beneficial as it would allow for more opinions and choices.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system could cause too many inter-group conflicts that should cooperate.,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system could increase political bureaucracy,We should adopt a multi-party system,AGAINST,train
"A multi-stakeholder system could lead to more situations where a majority is not reached, which means that it could be more difficult to pass policies.",We should adopt a multi-party system,AGAINST,train
"A multi-stakeholder system could make decisions more difficult to make, as more opinions will complicate things.",We should adopt a multi-party system,AGAINST,train
"a multi-stakeholder system could mean that it is more difficult to agree on answers, as there is more likely to be no majority on the questions.",We should adopt a multi-party system,AGAINST,train
a multi-party system creates chaos. plus is no more in this type of case.,We should adopt a multi-party system,AGAINST,train
A multi-stakeholder system allows people to have more voices to say about what is happening in their country.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system encourages innovation and new ideas.,We should adopt a multi-party system,FAVOR,train
a multi-party system encourages parties with different political views to work together and discourages polarization of the opposing policy,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system encourages weak and unstable coalition governments that are unable to pursue radical change,We should adopt a multi-party system,AGAINST,train
"A multi-party system guarantees voters the opportunity to elect politicians who align most closely with their beliefs, thus reducing the chances of compromises on the things they consider important.",We should adopt a multi-party system,FAVOR,train
"A multi-party system is clearly good for democracy, allowing opposing groups to work through their differences and give the population a choice in government elections.",We should adopt a multi-party system,FAVOR,train
a multi-party system is enshrined in democracy. anyone should have his ideology and choose the party of his choice,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system is excellent in providing voters with many different candidates with different views and ideas,We should adopt a multi-party system,FAVOR,train
A multi-party system is less likely to address extremists who are now represented only by small extreme parties than larger parties.,We should adopt a multi-party system,FAVOR,train
A multi-party system is less likely to have a blockage because there are more parties willing to compromise.,We should adopt a multi-party system,FAVOR,train
a multi-party system is more representative of the will of the people,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system is more suited to change or change of public opinion.,We should adopt a multi-party system,FAVOR,train
A multi-party system is the most just representation of all political views and would increase the electorate's commitment to politics in general.,We should adopt a multi-party system,FAVOR,train
"A multi-party system is the most democratic system available, as it recognizes a wider range of views.",We should adopt a multi-party system,FAVOR,train
a multi-party system lacks stability and costs huge sums to run as many parties as any campaign to get their voices heard,We should adopt a multi-party system,AGAINST,train
a multi-party system leads to disorganization and chaos.,We should adopt a multi-party system,AGAINST,train
a multi-party system leads to too much division and there can never be general consensus,We should adopt a multi-party system,AGAINST,train
a multi-party system leads to an unstable government and does not accurately reflect people's will,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system allows to hear many opinions on important topics,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system makes it much more difficult to collaborate on ideas.,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system ensures that more ideas are included.,We should adopt a multi-party system,FAVOR,train
a multi-party system ensures that a political party does not hold all power.,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system maximizes the choice that would encourage greater voter participation.,We should adopt a multi-party system,FAVOR,train
A multi-party system means that more opinions will be heard and people will have a greater choice of who to vote for.,We should adopt a multi-party system,FAVOR,train
A multi-party system could allow more and more candidates to stand for the lead in each election.,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system swallows up the water with too many ideas,We should adopt a multi-party system,AGAINST,train
a multi-party system never works because at the end of the day each party is out for themselves and does not work in the interests of the people being represented.,We should adopt a multi-party system,AGAINST,train
"a multi-party system offers too many options and reduces the voting for a candidate, distributing votes over too many options.",We should adopt a multi-party system,AGAINST,train
a multi-party system only hinders the choice of a candidate for the presidency,We should adopt a multi-party system,AGAINST,train
A multi-party system prevents the leadership of a single party from putting in place a clear policy.,We should adopt a multi-party system,FAVOR,train
A multi-party system offers more choices to ensure that people have representation for their various beliefs beyond a simple bipartite or unipartite system.,We should adopt a multi-party system,FAVOR,train
A multi-party system reduces tactical voting (vote for a particular person or political party to prevent someone else from winning).,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system gives rise to so many different platforms that there is no cohesion and nothing is achieved.,We should adopt a multi-party system,AGAINST,train
"a multi-party system spreads votes at the end, so that only one leader can be victorious even if they have not received the majority of votes from the peoples.",We should adopt a multi-party system,AGAINST,train
"A multi-stakeholder system weakens the speed of decision-making and ensures that no progress is made, so that we should not adopt it.",We should adopt a multi-party system,AGAINST,train
A multi-stakeholder system will allow for a greater exchange of ideas and a better development of our government.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system will create confusion and impasse.,We should adopt a multi-party system,AGAINST,train
"a multi-stakeholder system will give more people with different ideas, an opportunity to present themselves at an office",We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system will help ensure that more political agendas will have the chance to represent the people,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system will only generate more political discussions and bastions in our government.,We should adopt a multi-party system,AGAINST,train
A multi-stakeholder system will lack real leadership and will mean that policies are often diluted or not adopted at all because a majority cannot be reached.,We should adopt a multi-party system,AGAINST,train
A multi-stakeholder system will allow for greater diversity of views within government.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system will allow all to be well represented.,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system will require large amounts of money that could be better used elsewhere,We should adopt a multi-party system,AGAINST,train
A multi-party system will only lead to legislative blockage and nothing will be achieved.,We should adopt a multi-party system,AGAINST,train
A multi-party system will further divide the country.,We should adopt a multi-party system,AGAINST,train
A multi-stakeholder system would allow more people to represent their ideas.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system would allow for more views and more complex debate.,We should adopt a multi-party system,FAVOR,train
"A multi-stakeholder system would be beneficial, as more than one political opinion in the government would ensure a more equitable outcome.",We should adopt a multi-party system,FAVOR,train
a multi-party system would be divided at a time when we will have to pursue common interests.,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system would be more representative of the public's will.,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system would be more representative of the will of the people,We should adopt a multi-party system,FAVOR,train
a multi-party system would be too confused,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system would be too decentralized,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system would give new life to a system currently dominated by the same people and ideas,We should adopt a multi-party system,FAVOR,train
"a multi-party system would bring a fairer balance to government, without leading to one extreme of politics or the other.",We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system would bring much more choice of representation for people living in the country.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system would bring more choices for people to speak and vote.,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system would cause more confusion than there is already in the country and would make the government even less effective.,We should adopt a multi-party system,AGAINST,train
A multi-stakeholder system would allow for an equal distribution of ideas within the political framework.,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system would give more groups the opportunity to make their political voices heard,We should adopt a multi-party system,FAVOR,train
A multi-party system would give voters more choice and even playing conditions.,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system would help to bring new ideas,We should adopt a multi-party system,FAVOR,train
A multi-stakeholder system would create more options for voters.,We should adopt a multi-party system,FAVOR,train
a multi-party system would improve the democratic process by giving a more traditionally marginalized representation of opinions and thereby improve the motivation of peoples to vote.,We should adopt a multi-party system,FAVOR,train
a multi-stakeholder system would present new ideas,We should adopt a multi-party system,FAVOR,train
"a multi-party system would lead to invalid elections, without anyone winning the majority of votes, so nobody winning the vote.",We should adopt a multi-party system,AGAINST,train
"A multi-party system would never do anything, because it would be almost impossible for everyone to agree on something.",We should adopt a multi-party system,AGAINST,train
a multi-party system would only lead to struggle and unless it was done.,We should adopt a multi-party system,AGAINST,train
"a multi-party system would poll. There would be too many options, which means that none would receive the full vote they deserve or need.",We should adopt a multi-party system,AGAINST,train
A multi-party system would require a complete overhaul of our democratic system.,We should adopt a multi-party system,AGAINST,train
A multi-party system would ruin the country.,We should adopt a multi-party system,AGAINST,train
a multi-party would not work in some countries where there is a monarchy and we should not interfere with stable regimes or try to impose our ideas on others.,We should adopt a multi-party system,AGAINST,train
a multi-stakeholder system makes it too confusing for voters to choose candidates if they have each good platform,We should adopt a multi-party system,AGAINST,train
a new system would bring new life and create options,We should adopt a multi-party system,FAVOR,train
a nuclear-free world would ensure the survival of mankind,We should fight for the abolition of nuclear weapons,FAVOR,train
"A nuclear war would kill everyone and everything that is on the planet, the entire human race would be destroyed, there is no way we would ever come back.",We should fight for the abolition of nuclear weapons,FAVOR,train
A single party system is a dictatorship. Russia under communism was a single party system. All peoples must follow the position of governments without an opposing opinion.,We should adopt a multi-party system,FAVOR,train
"a parent is supposed to love a child, regardless of whether it is male or female, the natural way of determination, and sexual selection makes children goods instead of miracles.",We should legalize sex selection,AGAINST,train
a parent knows better what is good for their child,Homeschooling should be banned,AGAINST,train
a parent knows his or her child better than anyone else and can customize his or her teaching to that child personality,Homeschooling should be banned,AGAINST,train
"A patient must be able to decide when he has had enough ""care"".",Assisted suicide should be a criminal offence,AGAINST,train
a person may be tempted to commit a crime that he would not have committed otherwise if he were confronted with trapping practices.,Entrapment should be legalized,AGAINST,train
a person has the right to express his or her opinion on what he or she thinks of his or her country,We should prohibit flag burning,AGAINST,train
A person has the right to choose an aesthetic surgery if he or she wishes and should not be prevented from doing so.,We should ban cosmetic surgery,AGAINST,train
"a person has the right to end his suffering and if someone takes pity on him and chooses to help, he should not be punished.",Assisted suicide should be a criminal offence,AGAINST,train
"For some, there are no viable alternatives to prostitution. Arresting someone for trying to survive is unfair.",We should legalize prostitution,FAVOR,train
"a person is either male or female, unless hermaphrodite was born so prodigious to people who decided to be gender neutral is another example of the world gone mad.",We should adopt gender-neutral language,AGAINST,train
a person must be able to choose to work as long as he is good enough to do so.,We should end mandatory retirement,FAVOR,train
"a person or a company has the right to enjoy or use its own invention, idea, process, etc. without fear of being stolen by a person.",We should abolish intellectual property rights,AGAINST,train
a person should be able to carry weapons to protect himself and anyone around him,We should abolish the right to keep and bear arms,AGAINST,train
a person should be able to choose whether to remain a virgin without persecution.,The vow of celibacy should be abandoned,AGAINST,train
a person should be able to choose who he wants to spend his life with,We should legalize polygamy,FAVOR,train
"a person should be allowed to choose a natural approach to cure his illness, especially an approach that has existed since the 1700s.",Homeopathy brings more harm than good,AGAINST,train
a person should be allowed to choose what happens to his body,We should ban cosmetic surgery for minors,AGAINST,train
"a person should decide what to do with his body and not with the government. if he wants to seek alternative medicine, he should be free to do so.",We should ban naturopathy,AGAINST,train
a person must have the dignity to choose how he or she dies,Assisted suicide should be a criminal offence,AGAINST,train
a person should have the right to choose whether to live or die,Assisted suicide should be a criminal offence,AGAINST,train
a person should have the right to die in his or her own conditions,Assisted suicide should be a criminal offence,AGAINST,train
"a person must not be forced to live his or her life in distress, when death is already preventable",Assisted suicide should be a criminal offence,AGAINST,train
a person uses his imagination and hard work to write as a book or music. he should be able to benefit from his work. he should not be in the public domain.,We should abolish intellectual property rights,AGAINST,train
a person who does a good job deserves an extra income,We should limit executive compensation,AGAINST,train
"a person who is in terminal stages of illness and suffering should have the right to end his suffering, under medical supervision.",Assisted suicide should be a criminal offence,AGAINST,train
a person who receives vocational education earns less in his or her life than someone with a college degree.,We should subsidize vocational education,AGAINST,train
education of a person must be the responsibility of himself,We should subsidize student loans,AGAINST,train
an identity of a person is based on their gender and should be recognized or may be offensive.,We should adopt gender-neutral language,AGAINST,train
The value of a person should not be based on a number. reaching a certain age does not mean that you do not want or do not need to work.,We should end mandatory retirement,FAVOR,train
A piece of paper doesn't hold people together,We should abandon marriage,FAVOR,train
