Tweet,Target 1,Stance 1
CARL ICAHN: The $67 billion Cigna-Express Scripts merger may 'rival the worst acquisitions in corporate history' (C… https://t.co/qLyEsVeajH,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn urges investors to vote down #Cigna-Express Scripts merger https://t.co/kDj7H2CLXk,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn wants to block Cigna-Express Scripts merger https://t.co/PyfMxP4s2u,The merger of Cigna and Express Scripts,AGAINST
"🗞️ Carl Icahn: Cigna ‘Dramatically Overpaying’ for Express Scripts
 
 https://t.co/VOJ5ozyBpG
 
 Published on August 8, 2018@12:00am #WallSt",The merger of Cigna and Express Scripts,AGAINST
Express Scripts stock plunges on report that Carl Icahn wants to block Cigna merger https://t.co/GeSFtXQb1D https://t.co/CiaNKWJgs1,The merger of Cigna and Express Scripts,AGAINST
$AET Senate Judiciary Committee Chairman Chuck Grassley (R-IA) wants antitrust reviews of Cigna/Express Scripts M&amp;… https://t.co/MAiA2TTbyg,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn bringing the 🔥on Express Scripts/Cigna
 “It’s a travesty to complete this deal.”
 https://t.co/M3ECunk64v… https://t.co/Rp5CWg5X45",The merger of Cigna and Express Scripts,AGAINST
Fear of Amazon fuels Icahn's disdain of Cigna-Express Scripts deal https://t.co/TqmVC6bUCt https://t.co/6JlfyCLMHM,The merger of Cigna and Express Scripts,AGAINST
Icahn sends another open letter to woo Cigna shareholders to scuttle planned deal with Express Scripts.… https://t.co/adChLtOtn0,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn to publicly oppose Cigna’s plan to buy Express Scripts for $54 billion, a price tag he calls ""ridiculous"" https://t.co/SbBxIKI7AF",The merger of Cigna and Express Scripts,AGAINST
"Amazon pharmacy should derail 'ridiculous' Cigna, Express Scripts deal, Carl Icahn says https://t.co/UWiUAxLbk7",The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn attacks ‘ridiculous’ Cigna takeover of Express Scripts
 Activist investor attempts to derail $60bn health insurance deal",The merger of Cigna and Express Scripts,AGAINST
Icahn urges Cigna shareholders to oppose Express Scripts acquisition https://t.co/V61TdYxu6F,The merger of Cigna and Express Scripts,AGAINST
#HealthcareHeadache (Icahn to send letter to oppose Cigna-Express Scripts deal: WSJ) has been published on Commande… https://t.co/sR1i8COTIK,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn Has Sizable Stake in Cigna, Plans to Vote Against Express Scripts Deal https://t.co/NhPKW7Js6C",The merger of Cigna and Express Scripts,AGAINST
"The Wall Street Journal: Carl Icahn to go public with his opposition to Cigna-Express Scripts merger, https://t.co/AMGy9xkik8",The merger of Cigna and Express Scripts,AGAINST
"#AllstateCarInsurance, #ElephantInsurance Department of Justice Will Take Up Cigna-Express Scripts Merger… https://t.co/vUXyOA1dYA",The merger of Cigna and Express Scripts,AGAINST
Icahn urges Cigna shareholders to vote against Express Scripts deal https://t.co/xqfiNHClMG https://t.co/hqVI6x7oGA,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn targets ‘ridiculous’ Cigna takeover of Express Scripts https://t.co/jLwuhzcSOt,The merger of Cigna and Express Scripts,AGAINST
"#WSJHealth @paulmarkovich, CEO BSofCalifornia not likely nor excited about partnering with Cigna/Express Scripts &amp;… https://t.co/gzmRSVB1uM",The merger of Cigna and Express Scripts,AGAINST
"Icahn, with sizable stake in Cigna, to oppose Express Scripts acquisition: WSJ https://t.co/g0TS4v4ID9",The merger of Cigna and Express Scripts,AGAINST
"#NavyCapital #WealthX: Icahn, with sizable stake in Cigna, to oppose Express Scripts acquisition -WSJ https://t.co/FoIekFH1Nk",The merger of Cigna and Express Scripts,AGAINST
The Wall Street Journal: Carl Icahn to go public with his opposition to Cigna-Express Scripts merger: Carl Icahn is… https://t.co/kTu9Z2lkYR,The merger of Cigna and Express Scripts,AGAINST
Barclays sees upside for Cigna even with no deal as Icahn opposes merger $CI $ESRX $AMZN $ANTM https://t.co/SpmWCAVznV,The merger of Cigna and Express Scripts,AGAINST
Cigna's strong earnings overshadowed by Icahn's opposition to its Express Scripts deal. https://t.co/tzvXzf6kyp,The merger of Cigna and Express Scripts,AGAINST
"📣 Icahn urges Cigna shareholders to vote against Express Scripts deal https://t.co/khTaDT4IWv
 
 🗞️ First Published… https://t.co/WhOYlZsfuk",The merger of Cigna and Express Scripts,AGAINST
Icahn rips Cigna-Express Scripts deal https://t.co/MsAIDKXPcW,The merger of Cigna and Express Scripts,AGAINST
Icahn to send letter to oppose Cigna-Express Scripts deal: WSJ: Investor Carl Icahn will send an open letter to the… https://t.co/gPgBOJcfK7,The merger of Cigna and Express Scripts,AGAINST
"never a dull moment in health-care-land
 as billionaire investor Carl Icahn launches a battle against Cigna's deal f… https://t.co/trH20ZIGqx",The merger of Cigna and Express Scripts,AGAINST
"#Activist: Carl Icahn has sizable stake in Cigna, plans to vote against express scripts deal, edge fund manager Ell… https://t.co/ojZIqc6tLz",The merger of Cigna and Express Scripts,AGAINST
Express Scripts stock plunges on report that Carl Icahn wants to block Cigna merger Carl I https://t.co/2QExJvt1KW @silewconsulting @blacq2,The merger of Cigna and Express Scripts,AGAINST
"#currency #cryptocurrency Icahn, with sizable stake in Cigna, to oppose Express Scripts acquisition - WSJ: (Reuters… https://t.co/FxgnyKDYcI",The merger of Cigna and Express Scripts,AGAINST
Express Scripts stock plunges on report that Carl Icahn wants to block Cigna merger https://t.co/XI40VUWtAR https://t.co/lb5clKVMoM,The merger of Cigna and Express Scripts,AGAINST
$CI $ESRX $EXPR The Wall Street Journal: Carl Icahn to go public with his opposition to Cigna-Express Scripts merger https://t.co/QgGlI9vh2w,The merger of Cigna and Express Scripts,AGAINST
"Disney-Fox, Cigna-Express Scripts Mergers Spur Most Lawsuits - Bloomberg BNA https://t.co/ZwwXHTsaX9",The merger of Cigna and Express Scripts,AGAINST
Fear of Amazon fuels Icahn's disdain of Cigna-Express Scripts deal https://t.co/n6ds6ggcD3 https://t.co/CgFFAJ6n3o,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn dials down his opposition to Cigna-Express Scripts deal https://t.co/zxdgTE2TsI,The merger of Cigna and Express Scripts,AGAINST
Icahn Opposes Cigna-Express Scripts Deal Citing Amazon And 'Flawed' PBM Rebates https://t.co/IlezHQKumd,The merger of Cigna and Express Scripts,AGAINST
"In his letter opposing the Cigna-Express Scripts deal, Carl Icahn makes a forceful case that Amazon's entry into th… https://t.co/HfTmlD6VqY",The merger of Cigna and Express Scripts,AGAINST
Carl Icahn warns @Cigna shareholders company is “dramatically overpaying” for acquisition of @ExpressScripts… https://t.co/hVVnyXrA82,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn urges stockholders to vote against pending $67 billion merger of Cigna Corp. and Express Scripts citing… https://t.co/rnXzXYX8Fi,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn Plans to Vote Against Express Scripts Deal Activist investor Carl Icahn has built a sizable stake in Cig… https://t.co/jaYooij9bs,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn has built a large stake in Cigna and plans to vote against Express Scrips deal https://t.co/qwUjLNwL7M v… https://t.co/HNoankPguV,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn has built a sizable stake in Cigna and plans to oppose its planned $54 billion takeover of pharmacy-bene… https://t.co/FM7G9XlCir,The merger of Cigna and Express Scripts,AGAINST
Icahn warns Cigna investors on Express Scripts deal https://t.co/2JOkOMN7Co https://t.co/YFWwv1Zc4n,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn wants to block Cigna-Express Scripts merger #TrumpCrimeFamily #Goodfella #CarlIcahn #LockHimUp… https://t.co/Tnr9TBZSzn,The merger of Cigna and Express Scripts,AGAINST
ICAHN SAYS EXPRESS SCRIPTS/CIGNA IS A `BULLSHIT' DEAL https://t.co/Q7ZhJZX2xW,The merger of Cigna and Express Scripts,AGAINST
"""Billionaire Activist Icahn Against Multi-Billion Cigna's Express Scripts Buyout"" https://t.co/JABR2mUF4J - via programbusiness #insurance",The merger of Cigna and Express Scripts,AGAINST
"Per @WSJ, Carl Icahn expected to go public with his opposition to Cigna-Express Scripts deal tomorrow with an open… https://t.co/Qgkq2c9jb0",The merger of Cigna and Express Scripts,AGAINST
".@Carl_C_Icahn on Cigna-Express Scripts deal: ""It just doesn't make any sense."" https://t.co/D7Aubqz7FB",The merger of Cigna and Express Scripts,AGAINST
Carl Icahn Publicly Opposes $54 Billion Cigna-Express Scripts Deal https://t.co/RtHiZzVaQl via @WSJ,The merger of Cigna and Express Scripts,AGAINST
UPDATE 1-Icahn urges Cigna shareholders to vote against Express Scripts deal https://t.co/1Ps9YNkx3U #economy @silewconsulting,The merger of Cigna and Express Scripts,AGAINST
Top Stories The Wall Street Journal: Carl Icahn to go public with his opposition to Cigna-Express Scripts merger… https://t.co/RMVequ8s3k,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn has sizable stake in Cigna, plans to vote Against Express Scripts Deal https://t.co/jfxbrstWgP via @WSJ w/ @DanaMattioli",The merger of Cigna and Express Scripts,AGAINST
Icahn to send letter to oppose Cigna-Express Scripts deal: WSJ Investor Carl Icahn will send an open letter to the… https://t.co/77AZoix03l,The merger of Cigna and Express Scripts,AGAINST
STAT Plus: Pharmalittle: EMA to lose more staff than expected over Brexit move; Icahn objects to Cigna takeover of… https://t.co/Zi41flhGUZ,The merger of Cigna and Express Scripts,AGAINST
Icahn rips Cigna’s ‘ridiculous’ $54 billion bid for Express Scripts https://t.co/Zr2bs1z5ae,The merger of Cigna and Express Scripts,AGAINST
Cigna posts revenue growth as concerns rise over merger with Express Scripts https://t.co/akclaUKsCW,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn targets ‘ridiculous’ Cigna takeover of Express Scripts https://t.co/0VDR5YpRpH,The merger of Cigna and Express Scripts,AGAINST
"CNBC: Billionaire investor Carl Icahn urges Cigna shareholders to vote against
 its Express Scripts deal. https://t.co/zZpeenzMrA",The merger of Cigna and Express Scripts,AGAINST
"BREAKING: Carl Icahn has sizable stake in Cigna, plans to vote against Express Scripts deal - Dow Jones
 
 Cigna sur… https://t.co/HtzVf3S7vO",The merger of Cigna and Express Scripts,AGAINST
Express Scripts stock plunges on report that Carl Icahn wants to block Cigna #merger https://t.co/CmvYYJKKYN,The merger of Cigna and Express Scripts,AGAINST
"MORE: Express Scripts shares drop to session low after Dow Jones reports that Icahn has sizable Cigna stake, plans… https://t.co/W29aBVWroJ",The merger of Cigna and Express Scripts,AGAINST
Activist investor @Carl_C_Icahn on Tuesday urged @Cigna shareholders to reject the insurer's $67 billion proposed d… https://t.co/lCc725G8r2,The merger of Cigna and Express Scripts,AGAINST
Carl Icahn says Amazon is a big reason for other Cigna shareholders to reject the Express Scripts transaction. Amaz… https://t.co/GWlisNuKbo,The merger of Cigna and Express Scripts,AGAINST
"#HealthInsurancePlans, #AarpInsurance Cigna-Express Scripts Deal to Face Justice Department Review… https://t.co/gN2Famwvga",The merger of Cigna and Express Scripts,AGAINST
"Icahn built stake in Cigna, to vote against Express Scripts deal, WSJ says $CI $ESRX",The merger of Cigna and Express Scripts,AGAINST
Icahn to Block $54B Cigna-Express Scripts Merger https://t.co/KCEorNxVEw https://t.co/hYKuC7dKCE,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn to voice opposition to $54 billion Cigna-Express Scripts deal
 https://t.co/k7r1Aqt0x5",The merger of Cigna and Express Scripts,AGAINST
Carl Icahn includes a stake in Cigna along with may oppose its deal to acquire pharmacy benefit manager Express Scr… https://t.co/e9MRxtz5XT,The merger of Cigna and Express Scripts,AGAINST
"Cigna investor Carl Icahn plans to vote against Express Scripts deal, WSJ says $CI $ESRX $AMZN https://t.co/BqdweaDDNe",The merger of Cigna and Express Scripts,AGAINST
Fear of Amazon fuels Icahn's disdain of Cigna-Express Scripts deal https://t.co/ovaySPZGNr https://t.co/b8JhXcXgE4,The merger of Cigna and Express Scripts,AGAINST
Icahn highlights Amazon threat in bid to block Cigna-Express Scripts deal https://t.co/Vljl47crOq $amzn $esrx $ci,The merger of Cigna and Express Scripts,AGAINST
"Carl Icahn, a 0.56% Cigna $CI shareholder, has filed a proxy soliciting votes against the deal indicating he believ… https://t.co/6P9LNyRwEQ",The merger of Cigna and Express Scripts,AGAINST
"$CI $EXPR Icahn, with sizable stake in Cigna, to oppose Express Scripts acquisition: WSJ https://t.co/yrGZUO1Wkz",The merger of Cigna and Express Scripts,AGAINST
