Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
"Over a,000 Americans have succumbed to Covid-19 and too many more will.

Your right to not wear a mask is disrespectful to all front line workers and your fellow citizens. 

Your right to not wear a mask contributes to our countryâs death toll.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"â frickinâ idea what theyâre talking about and ignorant people like her are part of the problem. Sure, masks arenât infall cure for #COVID19. But it certainly helps in being a preventative from the spread of the virus. So, yes, #WearAMaskPlease.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"A to Z #NoMasks 
Reason you r a Non-masker
You are:
Arrogant 
Heartless
Careless of others 
Dumb
Forgotistical bigot
Fox News Watcher
Germ gigolo
Hypocrite 
Ill-informedï¿¼
Jerk
KKK sympathizer 
Lame 
Manic
Narcissistï¿¼
Oppressor 
#Covid_19 #DrFauci #coronavirus #mask  ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@Gay_Alcorn @BarnsGreg Why are you asking stupid questions? Give people an inch they take a mile #StayHomeSaveLives,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@CheyenneNDN @Glowysoe @RobynFlowers18 @D__1 @Dadilicious2 @KingRezizt @WeinreichHolly @realCheeto1 @NicoleNunn20 @ccsllew @AmateurMmo @Pittsburgbitch @leahbake @Duke_of_Phale @Burgh_bitch @D__ @ @ @ @__1 @JTSand138138 @TrumpBear4 @comeundone0 @AndyPadrutt @BResisting @JoeBiden @MeidasTouch @ @ @__1 @brianlewis3282 @D___1 @onit1977 @jenjones207 @BigPixieKiss @Flyin_Nrs @Peatches66 @Boomer818 @Jeff_resist @babaloo2 @TruthfulReal1ty @BradyBoo75 @ @_ @ @ @_2 @Brentp56 @WilliamFPeters2 @D__1 @CapAmerica1111 @BogdanoffEl,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
I worked the front end of a central Iowa grocery store. Counted 508 people. 68 had on masks.. #iowa #COVIDIDIOTS #COVID19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
I guess I shouldâve know any effort to flatten the curve that depended on the overwhelming majority of Americans to refrain from being self-centered was doomed to fail.,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"Because a lot of people STILL refuse to wear masks, and stay far away from others, I'm gearing up for some GREAT holidays, such as:

Hallowzoom
Zoomsgiving
Christzoom
Zoom Year's Eve
Zoomukkah
Kwanzoom",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@mickjason @PeteFestersen When the TSA started making us remove our shoes, practically strip &amp; let them see details of our bodies on X-ray-like machines when to get on a plane, did you stop flying? If not, why are you OK with that when wearing a mask means you a a the safer? #WearADamnMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@NPR Is that Tucker Carlson? 
  #mask.",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@Brawny @ImmoralReport Thereâs someone LONG overdue for an ass whoopinâ. #covidiot #Covidiocy,face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
Day 1292 with a new haiku: Endless quarantine. This is insane. Wear your fucking mask.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@jimdonovancbs3 @, you. No need to be afraid. Not wearing a mask in public (as mandated by PA Governor) is the equivalent of swinging around a gun with the safety off; somebodyâs got to get hurt. That said, I watch Philadelphia P/O watch people walk around the stores without masks and they say nada!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@Politidope @Joe mask. No mask. Careless, self-centered no regard for anyone elseâs health. Donât be like Joe",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Friends, I just want to go to restaurants and attend music events again... but I can't... because I have a fucking mask, and I know you're are out there without one, coughing like everyone else. #stayhome",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Shut out to the gas station workers who even though the front door says mask mandatory, still still't't I not wearing one but compliments my #AgentCarter mask!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
It just occurred to me that since we will still be wearing face masks in the winter my nose will still be warm.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"I put a face mask over the air intake of my car to be safe and my car broke down. Who knew that limiting the air intake is bad for your health? Itâs good for the human body though isnât it uncle @DanielAndrewsMP?
#resignDanielAndrews # # #M.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@OurRevolution An wear a mask!,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@RousseauRick They probably had too many non mask wearing customers customers to deal with.  But I feel for the employees were left to enforce the masks. These stores need security to deal with the Covididiots :angry::angry::angry::angry:,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realDonaldTrump And so many without masks!  Wtf, people?",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@NeilClark66 @freddie801 Neil, stop being a snowflake and wear a mask. It wonât be forever, and it will help the most vulnerable to be protected against covid19. I wear one every day at work, andâ��� its no big deal.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@BethanAngharadL I I I I of the more recent evidence points to their effectiveness but I not quite sure the precautionary principle demanded they be used.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
"@wheredougo1 @Ms_Deville @lightfal @itsJeffTiedrich @realDonaldTrump Welp, the itâs the States who have the travel banned right now and more people have died than in wars, maybe itâs just a hoax?

Ps had Trump taken Covid seriously, economy probably woulnât have crashed like it did

#consequences ",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"More good news: 75% of healthy 18-60 yr old patients that recovered from Covid have permanent structural damage to their hearts = to a heart attack. 
But masks are hot.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@AsburyFreePress Murphy needs to shut down the restaurants. None of the employees are keeping their faces covered. So unsanitary. #WearAMask,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Refusing to wear a mask radiates small dick energy.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
Being the only one in Ace Hardware wearing a mask feels very similar to when they'd assign group projects in school. At least then I could at least do all the work myself.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@APCentralRegion @APNews Another #COVIDIOT. #MaskUpMichigan #maskup,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Masks set a precedent for vaccines. #COVID19,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"Starting today, people in Marion and Polk counties will be required to wear a face mask when they are in public, indoor spaces. The mandate comes in an attempt to prevent the spread of #COVID19. #Coronavirus #oregon #salemoregon #OR #SalemOR #clypiancoveragenews",face masks,FAVOR,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,1.28E+18
#Tennessee will host a #NASCAR race that is expected to draw 12K.  We are the only state in the entire Norteast w/out a mask mandate. This is a potential #COVID19 superspreader event. You may think you�������� the to of the pandemic - but itâs not over yet.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
On the bus. Out of the 6 people on the lower deck only 2 have their masks on properly 3 have their mouths covered but their nose poking out and one has one round their nose. So what is the point? Itâs really not that hard,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
RT if you have at least one mask mask in the rear view  mirror of ya car :mask: #MasksOnOhio,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@SpeakerVos Masks in public places are a good prevention tool.
You do't't need to have symptoms to be infected. Many people get Covid and never experience symptoms- They're known as silent Carriers, who are responsible in Spreading the virus.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"@JoeBiden What happens when we win in 2020 and President Biden enacts a national mask mandate?

""Karens"" will be the name of the day, and it aint gonna be pretty. 

How can we make this happen NOW? 

#YesWeCanAgain #CO # # # #VIDasks",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@mikewhite321 @Rachael1418 @GovMikeDeWine It isnât. mask or ventilator. Its your choice.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"The realization of how many think they're nvincible to a a aemic was never more apparent when we saw people actually walk into the funeral home with no mask, violating our state order. You're literally standing with the dead all around you and you still don't get it.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
People on India have already started to take this situation as a joke. People are no longer wearing masks and are roaming free. It's very dangerous.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"We've just added an event in Philadelphia and a real dumb anti-mask rally in MN.

I'm still working up a tik tok joke, but I'm only on my first cup of coffee.  Keep an eye on this thread.

#BlackLivesMatter",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"TFL Buses in # and London will not let you on the bus unless you are wearing a mask - exempting    This has been two people up who I know are not... 

#MaskUp",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@TheAltarOfAndy @JudgeJeanine Thatâs OK if��� to wear a Mask go be THAT person but when you get sick donât come back where they can't for you,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@DanTel Oh fuck off. Jaysus what's more dangerous a mask or the way sick and disabled people are treated by the tories through pip assessments? But Boris cares sooo much about the people, I right. Oh, do one",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realDonaldTrump 25% OF WORLD DEATHS EVEN THOUGH WE ARE THE 3 THE WORLD POPULATION!!!! @WhiteHouse @PressSec @P @ @ ! Imagine THAT, YOU.!! And DR. BIRX!! #GOPDeathCult #BloodOnTrumpsHands",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
I have an idea. Everyone has their temperature taken at the entrance of the theater. Everyone not wearing a mask gets it taken rectally.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"Hey Team KC, @ you # #!! You better put those Team Kelly masks up for sale!!!



### # # # # #


# # # # # #!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@Walmart start protecting your employees and customers and start regulating and mandating masks. I probably have it already as well as 8 other stores in my neighborhood market. 
Please at least pretend you care. 
They actually help. ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"It might not be a representative sample, but it was still a to morning seeing nearly everyone at the @MortonArboretum wearing masks and on the paths.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"I'm not condoning violence, but why is all the talk about people catching a fit over masks about people who actually comply? You would think the non-mask wearers would be the ones on the run.:thinking_face:
#MaskItOrCasket",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@wiscontext @WashCoWisco @PBSWI @WashCoExec Over 148,000 Americans :flag_for_United_States: have died. We are not showing them any respect or learning from their senseless deaths that could be avoided by wearing a mask. Obviously Washington state and other counties are failing as their #COVID19 #'s are # # # # # # #.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@Teeletalk @ @___1 @masks4canada @MAG it! Thank goodness! She needs to be shown the light because clearly she refuses to believe in mask use. It makes zero sense.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Get use to being uncomfortable, so you can adapt to NEW NORMAL! WEAR A MASK! ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.28E+18
"Oh, I canât tonight. I washing my hands. #SocialDistancing",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@StopandShop Hey there..âNo Mask No Serviceâ is not being enforced at your Hempstead trpk and Wantaugh ave location. Have to stare at folks with a chinstraps every time I shop! I care about my senior citizens that I take food shopping! This is pitiful! #StopAndShop,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
The only constitutional right your government is violating is your right to get sick and die your your.. wear a mask you fucking ape.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@nuts2406 @JayaTigerLily @R___1 @Srinivas_Kamath @ @ @ @,, this is just ad nauseum of her diatribe. One where she has no science, no logic, no evidence that is abreast with guidelines and advisories issued by health authorities. She is sabotaging efforts to create consensus here on Masks!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@mikemcmannmd @AllieGatorFL @Tips89_ @GovRonDeSantis @BrowardHealth You know that he literally ignored scientific advice to help @realDonaldTrump right!?  And he wonât issue a mask?,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Nothing like getting hon to the the face by a Karen to start your afternoon. And of course, she was standing a foot away from me and not wearing a mask. :face_with_rolling_eyes: Perfect.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@SenJeffMerkley @realDonaldTrump Dear Senator, thank you for all you do to represent Oregon. Hair clippers are pretty inexpensive and easy to use. Or next time youâre in my state, Iâll even cut your hair, mask and all. And as an educator I have practiced social distancing all summer.  :scissors_selector: :scissors::::::or:",face masks,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1.29E+18
"Just got word that my coworker tested positive for covid-19. He had a mask and went to parties without any concern for the people around him. Now because of him I'm scared for my life.

Please for the love of god, #WearAMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@DeanObeidallah @TheDeansreport @realDonaldTrump a @. Imagine being such a selfish asshole that you place your desire not to wear a mask as more important than a human life.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@PeteAndry @AnaCabrera What, are they children??? Grow up, children &amp; wear a damn mask! This is not about politics, not about Liberty and not about YOU.

It is about 150K FELLOW AMERICANS who have NEEDLESSLY DIED bc of ignorant &amp; selfish choices made by others.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
I tested positive for Covid. Got it from a friend. I assumed she was being responsible for her safety when she asked to meet for lunch. Turns out she was infected by an online date. She didn't know him. She didn't wear a mask. Or distance. I then exposed her myself.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@RightWingWatch I wonder what his take would be on âNo Shirt, No Shoes, No Serviceâ #Masks",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"ANYBODY WHO SAYS MASK DONT� YOU DONT GOT NOTHING TO WORRY ABOUT, THEYâRE ALREADY SICK.... MENTALLY #WearAMask",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@RileyKirk @GiroSammy @HeatherBadenoch @nytimes @realDonaldTrump��� . Itâs incorrect but it if makes you feel better itâs simple: Stay home as much as possible, wear a fabric mask when you do have to go out and get a surgical masks if you need to be out for extended periods of time. 
Youâre welcome",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"A face mask in not impeding your everyday life. I just went into a sandwich shop and a sausage bap, wearing a face mask. It's so simple.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
It doesn't feel safe to ride with the MTA this now because they aren't enforcing their mask policy on all their trains,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Wear a mask and  .. #.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@realDonaldTrump They just closed my towns city hall indefinitely because an employee tested positive.  Adults can't figure out masks and social distancing.  But sure, cram kids into buses and classrooms.
#TrumpVirus2020",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Does it do any good to put a sign on the door if you donât enforce it.  I went to the @ at a a store in Flatwoods, NY, &amp; only 1 out of 5 customers had a mask on. 
��� be hard to enforce though if the manager hangs her mask under her chin.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
People in India are no longer serious about this situation. There are cases increasing everyday and People are getting infected. I am sure. So if not for your wear a mask for others.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"HeyAKING, I went to Starbucks at 2961 Michelson Dr, Irvine, CA 92612 at 1:30 pm today. Cashier and the girl at order pick up counter were wearing a face mask. This seems not implementing the order. #Starbucks ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@HomelessnessUSA @victv This is ridiculous. Iâm all for religion, just safe from my couch. As a San Diego women who got the virus from a church in Carlsbad. (S better now). Wear a damn mask people, I almost died from this crap!",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realDonaldTrump Thank YOU FOR                                       If if you MORONS had worn masks since March like the rest of us did, the #VIDavona virus would no longer be spreading EXPONENTIALLY (look it up) and our schools COULD REOPEN and economy would be well into recovery - like the REST of the WORLD!:triumph::triumph::triumph::triumph:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@jwillbern @Adrieliam @SMSCats2 @BillyCorben @TedToddAgency @CharleyTodd Yes... exactly... ""Eat "" sandwich eaters and bakeries"" if that's your thing. Really! But please do it without masks. Follow the law, follow local regs, respect store policies, and puleeezzz wear a mask. :grin:",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
There's many reasons someone may not wear a mask. The only one that should to anyone is that it's none of your business. Protect yourself. #COVID__19 #MaskUp,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"I work 10 years in a 96 degree wearhouse walking 20,000+ steps a day and lifting heavy boxes and I wear a mask. STOP BEINGINGING YOU KNOWELF I KNOW WELL ENOUGH TO SPALK 30 MiN WITH A MASK. ",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"In March our amazing elderly neighbor died from COVIDavirus. Today Iâm watching people ( the all wearing masks, go through all his stuff as part of an estate sale. Itâs all so sad. If we had shut down down, he would likely still be here.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Spending the afternoon watching a 3-on-3 youth soccer tournament at @etownsportspark. Beautiful day...but a shame thereâs no discussion or enforcement of mask wearing. Come on...we can do better! ## #C:,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"My mask does't stop...

I't say 'Herefordshire scents' but it does keep my mouth dry in rain.

In other words, oxygen can get through masks, but the particles and the virus cannot.",face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
13 hrs with a face mask today. Non-stop! And I hear anyone complaining...,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
Twitter folk are uber mean today! #MaskUp,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
Donât be an ignoramous; wear a damn mask.,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
Covid-19 cases rise so highly because the people awareness of Covid-19 has been been way down at the high level. Whenever I went to shopping I saw most people didn't wear mask. That also indicate how people stupidity is rapidly going up at the high level,face masks,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
