target,cluster
technology,2
technology,2
gps,4
market,2
matter election,2
colorado,4
election,0
college student vote,1
colorado 1972,2
election,0
capital gain,2
taxation,0
income tax,0
job,2
canada,4
prostitution,0
prostitution,0
sex trafficking,0
cat,3
declawing cat,3
declawing cat living apartment,2
cat pet,2
people,2
informed skeptic,2
science,1
atlantic coast,4
environmental implication,2
drill,2
arctic,4
drilling,2
oil spill,2
arctic,4
michael jordan,4
modern basketball,2
modern basketball,2
sport,2
status teacher,1
education,1
teach america teacher,1
teach america,4
tfa,4
teach america,4
teacher,1
specialty education,1
specialty teacher,1
street style,2
graffiti,2
graffiti,2
globalization,0
graffiti,2
grafitti,2
graffiti shirt,2
big bank,2
banking monopoly,2
managing bank,2
control,2
bank,2
aggressive bank,2
extreme parenting,2
raising child,2
parent,1
college student vote,1
vote,0
student voting,1
election,0
vote,0
student,1
youth voter turnout,0
vote,0
foreign language class,2
multilingual,2
benefit learning second language,2
foreign language,2
mandatory college,1
foreign language,2
language culture us,2
bilingual,1
foreign language,2
american ignorance,2
way sell free,2
no show reservation,2
show charging nyc,2
cat,3
declawing cat,3
declaw,3
declawing cat,3
declaw,3
woman,2
home birth versus hospital,2
childbirth,0
kid home,1
midwife,0
birth,2
beachfront home,2
public access,2
school access,1
land ownership,2
land,2
school property sale,1
public area,2
access,2
farm,2
united farm worker,2
farm mechanization,2
united farm worker,2
agricultural mechanization,2
ca farming mechanization,2
machine,2
farming method,2
mechanizing farm,2
farm,2
fee,2
usury law,0
banking fee,2
rich politicans,2
politics,0
individual 's right,2
deaf people,2
asl,4
educating deaf people,2
deaf,2
special school,1
deaf people,2
asl,4
asl,4
deaf people,2
kid home,1
home birth,2
birth doctor,2
caesarean,0
woman,2
baby,2
home birth,2
birth hospital,2
vaccination,0
choice whether vaccinate child,2
public breastfeeding,2
mandatory child,1
vaccinating child,1
vaccination,0
kid home,1
pregnancy,0
home birth,2
medical care,2
doctor,2
drug,0
woman,2
pregnancy,0
home birth,2
pregnancy,0
dual citizenship,0
dual citizenship,0
citizenship,0
conscription,0
conscientious objection,2
smog,0
china 's manufacturing,2
muir wood profit smog,2
china,4
pollution,2
muir wood,2
legitimate threat,2
pollution,2
smog,0
air quality,2
mother teresa,2
mother teresa,2
legitimate threat,2
unsustainable population,2
overcrowd,2
crowding,2
overcrowding,0
population,2
violent consequence overpopulation,0
population reduction,2
u.s. embassy,4
arab violence,4
palestinian,4
u.s. embassy israel,4
israel 's peace,4
jerusalem,4
fate palestinian,4
israel,4
palestinian,4
high school,1
broad education,1
college planning,1
vocational education,1
teach,1
vocational education,1
prepare student real world,2
career aspiration,2
school goal,1
tax code,2
tax exemption corporation,2
tax exempt corporation,2
corporate tax,2
us tax code,2
tax code,2
nonprofit status,2
taxing corporation,2
tax,0
taxing corporation,2
extreme parenting,2
chinese parenting,2
parenting style,2
greater success,2
parenting style,2
chinese parenting style,2
different culture parenting style,2
company,2
corporation,2
corporation goal make profit,2
corporate method,2
felon,0
felon right,2
incarceration correction,0
hiring convict,2
people,2
iq test,2
iq testing,2
people,2
older parent,1
adopted child china,2
adoption,0
single mother,2
motherhood,0
international adoption,2
older parenting,1
israel,4
geopolitics,2
hostility,2
nuclear weapon,2
gamble,2
marijuana legalization,0
marijuana,0
casino,2
legalization marijuana,0
casino 's,2
threat,2
immigrant,0
immigration,0
wage,2
atlantic coast,4
offshore exploration,2
atlantic offshore exploration,2
renewable energy,2
offshore drilling,2
drilling,2
petroleum age,2
air safety,2
israel,4
israel,4
human right,2
u,2
school librarian,1
librarian,1
company,2
patent gene,2
gene research,2
gene,2
selling gene,2
gene patent,2
opioid training,0
education opioids,0
improving care opioid addiction,2
environmental threat,2
conservation,2
invention,2
alternative energy,2
enough,2
illegal immigration,0
illegal immigration,0
verify,2
unemployment,0
secure border,2
border,0
security country,2
securing country,2
secure country,2
ice,2
people,2
science progress,2
income inequality,0
altruism,2
conflict democratic society,2
big bank,2
invest,2
investor,2
investment banking,2
big bank,2
gamble,2
invest,2
company,2
emission regulation,2
emission,2
gateway drug,0
cannabis,0
cannabis v alcohol,0
marijuana,0
cannabis,0
us,2
president al assad,4
poison gas,2
syria,4
bashar al assad,4
interfering middle east,2
president bashar al assad,4
poison gas,2
political code conduct,2
marbury v madison,4
republican,4
code conduct,2
electric car,2
ev adoption,2
ev charger,2
electric car,2
accessory,2
public preschool,1
childcare,1
subsidize preschool,1
smart investment,2
child care,2
school,1
teacher,1
good teacher,1
english teaching,1
high school english,1
experience,2
teaching career,1
teach,1
high school teaching,1
vaccination,0
vaccination,0
disease,2
doctor,2
mandatory child,1
vaccine,0
immunization,0
problem,2
immigrant,0
latino employment,0
latino labor,0
job filled latino,2
immigration,0
latino,4
latino employment,0
latin,4
capital gain,2
capital gain tax,2
capital gain,2
cat,3
declawing cat,3
declaw,3
american war syria,4
american,4
syrian,4
us bombing syria,4
syrian refugee,4
refugee,0
syrian refugee,4
american foreign policy,2
syria,4
arm,2
taiwan,4
military capacity,2
arm sale taiwan,2
tfa,4
public education,1
education reform,1
teacher,1
status teacher,1
educational reform,1
teach america,4
education reform,1
airline industry,2
fare,2
air fare,2
government,0
airfare,2
airline hub,2
overpriced airfare,2
deregulation,0
airline regulation,2
atlantic coast,4
oil,2
fossil fuel,2
offshore drilling,2
drilling,2
oil,2
oil conservation,2
renewable energy,2
iran,4
iran,4
threat,2
iran,4
us foreign policy,2
threat posed iran,2
iran,4
iraq 's invasion iran,4
same sex college,1
drop rate,2
male right,2
electric car,2
electric vehicle,2
all electric vehicle,2
control worker government,2
worker free speech,2
religious freedom,2
speech,2
religious belief,2
government,0
religious practice,2
affirmative action,2
race based admission,2
racism,0
poor kid,1
income,2
race based admission,2
race based admission,2
low income student,1
fee,2
check,2
bank,2
cashing check,2
school librarian,1
library,1
internet,2
syria,4
intervention,2
us intervention syria,4
civil war,0
syria,4
civil war syria,4
u.s,4
syrian civil war,4
staying syria,4
neutrality war,2
syria fighting back,4
military assistance,2
family trip,2
travel,2
vacation,2
vacation,2
travel,2
capital gain,2
romney,4
taxation business,0
intestate student,1
cost college,1
university education,1
foreign student,1
paying full tuition,1
prostitution,0
prostitution,0
gene,2
scotus term limit,2
patenting dna,2
patenting isolated dna sequence,2
limiting judge scotus,2
court decision company action,2
dna sequence,2
foreign language class,2
linguistics,1
language,2
mandatory college,1
foreign language,2
continuing education,1
learn,2
language,2
education,1
immigration,0
immigration,0
illegal immigration,0
undocumented immigrant,0
immigration rule,0
immigration law,0
immigration,0
fee,2
banking fee,2
bank,2
executive bonus,2
bank profit,2
legitimate threat,2
election,0
political purity test,2
overpopulation,0
overcrowding,0
global warming,2
voting president,2
global warning,2
renewable energy source,2
hydrocarbon,2
depleting hydrocarbon resource,2
fossil fuel,2
future generation,2
free energy resource,2
drilling,2
hydrocarbon,2
organic chemistry,2
hydrocarbon,2
woman,2
improving hospital setting,2
hospital,2
hospital safety protocol,2
healthcare,0
hygiene,2
home medical procedure,2
hospital,2
infection prevention,0
home care,2
college student vote,1
college kid,1
college kid tired ripped 1,2
ripped 1,2
clinton campaign,4
college kid voting,1
college kid,1
legitimate threat,2
overpopulation,0
immigration,0
overcrowding,0
overpopulation,0
population,2
tax break,2
home schooling,1
saving taxpayer dollar alternative schooling,2
schooling child,1
home schoolers,1
home schoolers,1
home schooling,1
motherhood,0
parent,1
child,1
pregnancy older,2
education problem due disability,2
child earlier,2
child early,1
early child bearing,2
older parent,1
autism,0
child,1
prozac,4
psychiatric drug,0
drug abuse,0
antidepressant,0
psychiatric drug use,0
medicine,0
psychiatric drug,0
sport program undergraduate school,1
varsity lacrosse,1
college sport,1
varsity sport higher education,1
israel,4
nuclear weapon,2
america,4
dual citizenship,0
global corporation,2
american,4
smart investment,2
universal pre school,1
public education,1
dept education,1
public preschool,1
dept education,1
educational funding,1
prostitution,0
sex work,2
prostitution,0
capital gain,2
company profit,2
increase corporate capital gain tax,2
none,2
capital gain tax,2
tax,0
arm,2
china,4
us relation china,2
illegal immigrant,0
human right,2
obese,2
illegal immigrant right,0
iran,4
iran,4
yes iran threat,2
threat,2
terrorist,0
iran,4
iran,4
nuclear weapon,2
sport program undergraduate school,1
sport program,2
athletic department revenue,2
athletic program,1
woman,2
home birth,2
home birth,2
pregnancy,0
kid home,1
home birth,2
childbirth,0
hospital experience,2
public university,1
state university,1
employment,0
state internship,1
admission problem,2
intestate student,1
state university,1
job finding,2
extreme parenting,2
jewish,4
helicopter parenting,2
parent,1
gene,2
human gene,2
patent gene,2
patent gene,2
human gene,2
patent,2
company,2
genetics,2
modification,2
home schoolers,1
property tax,2
tax,0
child tax break,2
child school,1
tax break,2
child,1
parent without child,1
education,1
tax break,2
birthright citizenship,0
14th amendment,2
none,2
14th amendment,2
foreign language class,2
multilingualism,0
foreign language,2
mandatory college,1
foreign language,2
learning language,2
communication,2
walmart,4
walmart,4
monopolization capital,2
grocery shopping,2
cheaper grocery,2
grocery,2
walmart expanding,2
walmart,4
home schoolers,1
paying school,1
sentiment,2
tax break,2
homeschooling,1
tax break home schooling,2
home schooling,1
home schooling,1
school selection,1
extreme parenting,2
parent,1
strict parenting,2
electric car,2
alternative energy,2
electric vehicle,2
miss america,4
beauty,2
beauty contest,2
beauty contest,2
beauty contest,2
pageant,2
beauty product,2
beauty,2
airline,2
regulation,0
free market force,2
free market,2
airline industry,2
consumption good service,2
regulation,0
free market,2
illegal labor,0
mine,2
mining pay,2
dangerous job,2
high paying job,2
mine,2
mining job,2
dangerous job,2
salary,2
manual labor,2
mother teresa,2
truth mother teresa,2
people,2
weak society,2
danger,2
college,1
farm,2
english language,2
immigration,0
current culture,2
illegal labor,0
government policy,0
educational cost,2
u.s. citizen picked produce,2
former colonial power,2
slavery reparation,0
slave,2
reparation,2
slave trade,2
compensation colonial slave trade,2
tax break,2
tax break,2
education tax,0
home schoolers,1
tax break,2
tax cut,2
electric car,2
electric car,2
honda civics,4
rich politicans,2
politician,0
congress,4
arm,2
u.s. support taiwan,4
taiwan defense,4
taiwan,4
way sell free,2
restaurant economics,2
restaurant,2
customer,2
electric car,2
manufacture,2
toyota prius,4
electric car,2
medical website,2
nifedipine cream,2
doctor,2
extreme parenting,2
parental expectation,2
autism,0
parent,1
people,2
librarian,1
people getting dumber,2
internet,2
censorship,0
government censorship,0
home schoolers,1
tax,0
tax break,2
tax break service n't use,2
tax break,2
tax break,2
tax code,2
tax support public school,2
electric car,2
nissan leaf,2
electric car,2
kid,1
education,1
curriculum school tailored parent objection,1
education,1
illegal labor,0
farmer,2
farmer following law,2
good farmer,2
illegal immigrant,0
illegal worker,0
farmer,2
farmer breaking law,2
home schoolers,1
home schooled student,1
homeschooling,1
home schooling,1
tax break,2
homeschooling,1
payment home schooled student,1
home schoolers,1
better educated,2
home school,1
child educated home,1
homeschooling,1
public school,1
public education,1
public worker,2
censorship,0
censorship,0
free speech,2
speech,2
freedom speech,2
free speech,2
censorship,0
tfa,4
teach america,4
teacher education flexibility,1
ms. rocco,4
teacher training,1
america teacher,4
status teacher,1
teach america,4
teacher,1
training teacher,1
american school system,1
vaccine,0
disease,2
child,1
vaccination,0
vaccine,0
gateway drug,0
gateway drug,0
opioid abuse,0
opioid abuse,0
marijuana,0
opioids,0
prescription opioids,0
illegal immigration,0
meaning word `` immigrant,2
dual citizenship,0
dual citizenship,0
dual citizenship w,2
freedom america,4
religious right,2
koran burner,4
koran,4
muslim,4
employment,0
speech,2
america freedom,4
right,2
religion,0
capital gain,2
job,2
job creation,2
investment,2
new employee,2
future career,2
noncompete,0
noncompete agreement,2
noncompete deal,2
noncompete agreement,2
noncompete clause,2
employee right,2
employer/employee relationship,2
casino,2
casino,2
gamble,2
gamble,2
casino,2
wealth,2
wealth,2
debt,2
overcrowding,0
overpopulation,0
overpopulation problem,0
legitimate threat,2
recycle,2
controlling birth rate,2
growth rate,2
overpopulation,0
fixing overpopulation problem,2
mandatory child,1
religion,0
child,1
vaccination,0
religion belief,2
religion,0
wealthy college,1
subsidy forprofit institution,2
public education,1
tax break,2
forprofit institution,1
paying college,1
income inequality,0
farm,2
unemployment benefit,2
shute 's competition,2
us law,2
illegal labor,0
abiding law,2
illegal labor practice,2
unemployment benefit,2
mother teresa,2
mother theresa,2
illegal labor,0
illegal labor,0
farm,2
apple growing,2
farming technology,2
technology farming,2
parent,1
homework,1
parental help schoolwork,1
school,1
child,1
individual need,2
homework,1
prostitution,0
prostitution,0
moral,2
tax break,2
lower tax,2
tax,0
home schoolers,1
tax,0
public school system,1
israel,4
america,4
israel,4
streaming service,2
online entertainment,2
youth addicted social medium,2
social medium,2
facebook,2
youth,1
parent,1
mental health,2
vacation,2
solo vacation,2
parent,1
familial stress,2
vacation,2
family,2
solo vacation,2
republican party,2
gop,4
us politics,2
republican,4
vaccination,0
vaccination,0
religious exemption,0
vaccine,0
mandatory child,1
vaccination requirement,0
exemption vaccination requirement,0
religious,2
home schoolers,1
tax pay,2
private school,1
home schooling,1
tax break,2
education tax credit,2
private school,1
casino,2
casino,2
symbol america,4
gamble,2
casino,2
casino development,2
casino,2
attack,2
drone,2
drone strike,2
workplace,2
ethic,2
minimum wage,2
corporation,2
walmart,4
fair living wage,2
living wage,2
wage,2
ethical company,2
large corporation,2
happy hour,2
happy hour special,2
happy hour,2
happy hour,2
immigration,0
illegal immigration,0
illegal immigration,0
immigration,0
problem,2
immigration,0
illegal immigration,0
control immigration,0
israel,4
policy,2
us policy,2
politics,0
sport program undergraduate school,1
funding college program,1
college,1
legitimate threat,2
technological advance,2
technology,2
alternative energy,2
human ingenuity,2
overcrowding,0
human ingenuity,2
technology,2
alternative energy,2
activity olympics,2
activity,2
olympics,4
olympics losing money,2
olympic sport,2
olympics,4
electric car,2
electric car,2
solar panel,2
electric,2
kid,1
country,2
interest,2
globalization,0
capitalism,0
hyper consumerism,2
serial monotony late capitalism,2
street style,2
consumerism,0
condition postmodernity,2
david harvey,4
us kerry,4
military intervention,2
kerry 's threat,2
military intervention,2
war syria,4
punishing country,2
sec state kerry,2
usa involvement,2
mandatory child,1
vaccine,0
vaccination,0
vaccination,0
vaccine,0
research paper,2
learn,2
critical thinking,2
useful excercise college student,1
learn,2
lesson learned,2
research paper,2
critical thinking skill,2
noncompete deal,2
selling trade secret,2
trademark,2
new employee,2
corporate power,2
noncompete clause,2
business,2
business,2
legal protection,2
cat,3
pet,2
cat,3
kid,1
flat,2
parent influencing public school lesson plan,1
beachfront home,2
restricting access beach,2
public land use,2
land compensation,2
government compensation,2
hurricane,2
hurricane safety,2
cat,3
declared cat,2
government ban declawing cat,0
declawing cat,3
us interference middle east,2
conflict syria,4
al qaeda,2
middle east,2
syria,4
us policy,2
us influence middle east,2
marijuana,0
gateway drug,0
heroin,0
gateway drug,0
heroin,0
drug,0
gateway heroin,0
using heroin,0
israel giving land,2
arab israel,4
israel giving land,2
history israel,4
palestinian state,4
israel/palestine conflict,2
jewish population,4
israel,4
israel land conflict,4
high school team,1
youth sport,2
classroom learning,1
team player,2
home schoolers,1
parent,1
team sport,2
school activity,1
dual citizenship,0
dual citizenship,0
dual citizenship,0
big bank,2
bank bailouts,2
2big2fail bank,2
control,2
threat financial system,2
big business banking,2
capital gain,2
tax advantaged capital gain,2
capital gain tax,2
tax,0
workplace,2
wage,2
tipping restaurant,2
living wage,2
owner restaurant bar,2
restaurant,2
restaurant,2
restaurant owner,2
tip,2
restaurant owner,2
new employee,2
non compete agreement,2
job,2
non compete,2
trade secret,2
noncompete deal,2
non compete agreement,2
nondisclosure agreement,2
nda,4
home schoolers,1
homeschool,1
home schooling child,1
tax break,2
education,1
home schooling,1
royal couple,2
kate william,4
royalty,2
royal family,2
modern family,2
royalty,2
royal family,2
marriage william kate,2
royal family,2
public preschool,1
preschool,1
universal preschool,1
smart investment,2
universal preschool problem,2
woman working house,2
universal preschool,1
universal preschool,1
government intervention,0
drilling,2
president obama,4
offshore drilling 's impact east coast,2
politics,0
atlantic coast,4
exploiting fossil fuel,2
fossil fuel exploitation,2
obama,4
comment section,2
comment section,2
corporate owned medium,2
overcrowding,0
population growth,2
america population growth,2
immigration effect,0
reduce immigration,0
immigration,0
population growth,2
america,4
palestine,4
palestinian land,4
religion n't control government,2
international support israel,4
religion,0
religious control,2
palestinian state,4
human right,2
palestine state,4
palestinian,4
problem,2
entitlement,0
illegal immigration,0
deportation,0
illegals,0
undocumented immigrant,0
immigration,0
deportation,0
illegal immigration,0
right illegal immigrant,0
marijuana,0
marijuana,0
gateway drug,0
marijuana,0
legalization marijuana,0
prescription med,2
legalizing marijuana,0
vaccination,0
vaccine,0
non vaccinated child,2
anti vax,0
mandatory child,1
vaccinating,0
vaccinating kid,1
parent,1
kid,1
evolution,2
learning evolution,2
conservative,2
israel,4
protestant,4
catholic,4
big bank,2
banking system,2
big bank,2
bank,2
control,2
big bank,2
big bank,2
lax bank regulation,2
jp morgan chase,2
immigration,0
tax education,0
real estate tax,2
illegal alien,0
illegal immigration,0
real estate tax bill,2
cost taxpayer,2
illegal immigrant,0
tfa,4
tfa,4
teach america,4
status teacher,1
public school teacher,1
teach america program,2
teaching profession,1
unpaid intenship,2
higher education,1
continuing education,1
work experience,2
harmful atmosphere gay,2
lgbt marriage,0
homosexual,0
christian,4
lgbt,4
tolerance,2
lgbt,4
tfa,4
volunteer,1
tfa,4
status public teacher,1
tfa,4
peace corp,2
peace corp,2
prostitution,0
sexually repressed society,2
society,2
sexual education,1
sexually repressive society,2
nation,2
interest,2
israel,4
palestine,4
palestinian,4
palestinian state,4
israel,4
palestinian state,4
christian muslim arab palestinian,4
vaccination,0
childhood vaccination,0
vaccine,0
mandatory child,1
child vaccination,0
immigrant child,0
vaccination,0
child,1
jerusalem,4
us embassy,2
u.s. embassy,4
u.s. embassy,4
israel embassy,4
charter school,1
public education,1
free public education,1
cherrypicking student,1
public education,1
public election,2
illegal labor,0
farm,2
economy,2
american working farm,2
decreasing unemployment,0
farm,2
agricultural worker,2
worker,2
farm worker,2
office layout,2
cubicle,2
kid,1
misleading school curriculum,1
teaching child challenge curriculum,1
extreme parenting,2
extreme parenting,2
tip,2
regular diner patronage,2
regular,2
onetime trend surfer,2
israel,4
israel iran,4
sanction,2
iran,4
parent,1
homework,1
education,1
parental involvement homework,1
homework,1
child,1
parent,1
homework kid,1
parental involvement homework,1
parent,1
hamas fatah unity,4
israel,4
mideast peace,4
jewish state,4
jewish state,4
arab league,4
mother teresa,2
catholicism,4
mother teresa,2
catholic church,1
care dying,2
human devolving,2
medical technology,2
medical technology,2
evolution,2
felon,0
justice,2
crime,0
victim blaming,2
roger clegg,4
mother teresa,2
religion,0
naming someone saint,2
saint,2
holiday,2
medicare,4
health insurance,2
healthcare,0
privatization,0
republican agenda,0
big bank,2
keeping job american soil,2
lend,2
control,2
job,2
increasing job us soil,2
bank lending,2
charter school,1
disruptive school child,1
education,1
low income education,2
cherrypicking student,1
disruptive kid,1
disruptive kid,1
school,1
activist,2
overcrowding,0
education,1
woman education,1
legitimate threat,2
woman literacy,2
woman education useful controlling population growth,2
birth control,2
veganism,3
diet,3
veganism,3
vegan diet,3
vegan diet,3
omnivore diet,3
nutritional deficiency veganism,3
tip,2
living wage restaurant worker,2
waitstaff wage,2
counterargument away tipping increasing price,2
tipping restaurant,2
restaurant,2
tip,2
tip,2
living wage,2
wage,2
tip,2
new employee,2
noncompete agreement,2
company policy,2
job,2
noncompete deal,2
noncompete clause,2
farm subsidy,2
farm subsidy,2
free market,2
republican,4
national security,2
republican,4
free market,2
felon,0
vote,0
voting right,2
citizen,0
law school,1
bar exam,2
law school,1
bar,2
law school,1
law school,1
bar exam,2
illegal labor,0
agricultural labor,2
labor,2
farm,2
agricultural labor,2
illegal worker,0
agricultural labor wage,2
overcrowding,0
overcrowding planet,2
t. r. malthus,2
overpopulation,0
personal accountability,2
grievance,2
reparation,2
historical treatment minority,2
slavery,0
impact forebear,2
dual citizenship,0
immigration,0
citizenship,0
rich politicans,2
politics,0
money power,2
corruption,0
wealth,2
democracy,0
1st amendment,2
right,2
speech,2
freedom speech,2
democracy,0
first amendment exploitation,2
free speech,2
capital gain,2
capital gain,2
income taxation,0
farming tax,0
tax,0
farmer,2
overcrowding,0
climate change,2
carbon waste,2
carbon,2
legitimate threat,2
climate change,2
overcrowd,2
carbon footprint,2
medical website,2
internet diagnosis,2
googling symptom,2
internet research regarding health issue,2
motherhood,0
early marriage,2
marriage,0
family,2
woman,2
delayed living,2
delayed living,2
taking time,2
kid,1
education,1
college,1
illegal labor,0
agriculture,0
intelligence agricultural worker,2
agricultural work,2
farm,2
agriculture,0
farm labor,2
noncompete deal,2
noncompete agreement,2
legalised blackmail,0
noncompete agreement,2
noncompete agreement,2
legalised blackmail,0
america,4
russia,4
company,2
mortgage crisis,2
business self regulating,2
housing regulation,2
mortgage deregulation,0
people,2
war,0
public worker,2
behavior,2
tolerance,2
free speech,2
employer overreach,2
democracy,0
speech,2
mr. fenton,4
behavioral attitude,2
immoral attitude,2
immigration,0
african american unemployment,4
immigration,0
outsourcing american job,2
african american unemployment,4
problem,2
school,1
high unemployment rate african american,2
immigrant taking job,2
business school,1
immigrant taking job,2
people,2
equal right,2
right,2
traditional value,2
education,1
islam,4
muslim,4
religious tolerance,2
speech,2
free speech,2
islam,4
muslim,4
america,4
religion,0
mandatory child,1
anti vax,0
vaccine additive,0
vaccination,0
vaccination,0
vaccination,0
child,1
abstaining vaccination,0
electric car,2
li ion battery,2
democrat,4
conservative resistance,2
immigration,0
democrat,4
immigration,0
illegal immigrant,0
democrat,4
bad deal city state,2
privatization,0
privatized prison,2
privatization,0
private industry,2
privatization,0
privatization service,2
private industry,2
privatization,0
electric car,2
drive,2
diesel car,2
mandatory child,1
choice,2
religion preventing medical care,2
religion,0
vaccination,0
religious belief,2
human right,2
home schoolers,1
public school,1
public school,1
public education,1
youth america,4
public education funding,1
veganism,3
veganism,3
vegan,3
everyone,2
obese people,2
veganism,3
health,2
obesity,0
veganism,3
nutrition,2
diet,3
carbs,2
veganism,3
hypoglycaemia,2
macronutrients,2
food,2
affirmative action,2
college cost,1
college admission,1
income,2
equal chance,2
college admission,1
college,1
immigration,0
immigration,0
solve immigration problem one law,2
illegal immigration problem,0
illegal immigration,0
illegal labor,0
illegal immigration,0
illegal immigration,0
farming subsidy,2
farm,2
farm subsidy,2
farmer,2
farming subsidy,2
new deal,2
farm subsidy,2
president roosevelt,4
goverment subsidy,0
farm,2
kid,1
sex education,1
sex education,1
abstinence,0
affirmative action,2
race based affirmative action,2
affluent kid getting college,1
affirmative action,2
income,2
racism,0
income based educational opportunity,2
affirmative action,2
affirmative action,2
higher education admission,1
office layout,2
open office layout,2
open office,2
open concept office,2
private office,2
capital gain,2
tax capital gain,2
economy,2
bad deal city state,2
military,2
private military contractor,2
privatization military,0
privatization,0
government contract,2
civil worker,2
isi,2
isi,2
muslim radical,4
u.s,4
isi,2
electric car,2
electric car,2
leaf,2
capital gain tax,2
tax,0
economic inequality,0
capital gain,2
company,2
lobby,2
lobbying organization,2
speech,2
freedom speech,2
right work,2
public worker,2
employment,0
use word,2
food labeling,2
food labeling,2
truth advertising,2
