Tweet,Target 1,Stance 1,set,Target ori
a company can pay higher to their employees if executive compensation is limited,limit executive compensation,FAVOR,train,We should limit executive compensation
a company has the right to determine how much executive compensation that they can pay out.,limit executive compensation,AGAINST,train,We should limit executive compensation
a company should be able to decide on their own how much they want to pay any of their employees,limit executive compensation,AGAINST,train,We should limit executive compensation
a company should be able to pay whatever they need to to attract the right talent. they will only pay what the market determines the person is worth.,limit executive compensation,AGAINST,train,We should limit executive compensation
a compulsory vote we make everyone contribute their opinion.,compulsory voting,FAVOR,train,We should introduce compulsory voting
a consumer doesn't know what's really in natural remedies since there is no regulation,ban naturopathy,FAVOR,train,We should ban naturopathy
a cosmetic procedure may be necessary for a horribly scarred child.,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
A country is entitled to develop any weapon that will help it defend itself against an enemy.,abolition weapons,AGAINST,train,We should fight for the abolition of nuclear weapons
a country should have the right to defend itself in whatever way it sees fit even if they do not intend to use nuclear weapons.,abolition weapons,AGAINST,train,We should fight for the abolition of nuclear weapons
A country with a diverse population is better represented by a multi-party system.,multi-party system,FAVOR,train,We should adopt a multi-party system
"A couple doesn't have to bind themselves legally to one another, by marrying, to prove their love.",abandon marriage,FAVOR,train,We should abandon marriage
a cure or treatment may be discovered shortly after having ended someone's life unnecessarily.,offence,FAVOR,train,Assisted suicide should be a criminal offence
"a democratic and free society is said to respect bodily autonomy, therefore we should have the right to do what we want with our organs, including using them in a legal organ trade",trade,FAVOR,train,We should legalize organ trade
a disadvantage of naturopathy is when natural medicines are taken to treat medical conditions without seeking qualified medical help,ban naturopathy,FAVOR,train,We should ban naturopathy
a father figure that takes an active role in their child's life has a positive effect on the child,dads,FAVOR,train,We should subsidize stay-at-home dads
"a father is entitled to sacrifice his work for time with his new-born, but this is a lifestyle choice and should be self-funded, not financially supported by the tax payer.",dads,AGAINST,train,We should subsidize stay-at-home dads
a few loud mouths should not be able to change years of law,limit activism,FAVOR,train,We should limit judicial activism
"A flag is just a symbol and carries no real meaning in and of itself. Therefore, burning it is not a big deal.",prohibit flag burning,AGAINST,train,We should prohibit flag burning
a flag is mass produced and has no added commercial value other than the material it is made with,prohibit flag burning,AGAINST,train,We should prohibit flag burning
"a flag is no more than a symbol, if flag burning were banned you would have to ban the burning of football shirts, etc",prohibit flag burning,AGAINST,train,We should prohibit flag burning
a flag is only a piece of cloth and there is no prohibition against burning cloth,prohibit flag burning,AGAINST,train,We should prohibit flag burning
a flag is only a symbol and permitting burning it as an expression of anger is free speech,prohibit flag burning,AGAINST,train,We should prohibit flag burning
a flag is only really a peace of cloth and doesn't actually hurt anybody.,prohibit flag burning,AGAINST,train,We should prohibit flag burning
a flag symbolizes a country and by burning it you are showing disrespect,prohibit flag burning,FAVOR,train,We should prohibit flag burning
a gender neutral language should be adopted so that conversations and language would be fair for everyone.,language,FAVOR,train,We should adopt gender-neutral language
a gender neutral language would improve gender equality,language,FAVOR,train,We should adopt gender-neutral language
"a gender-neutral language is what we should all learn to speak, it will help  dealing with racism and other social issues",language,FAVOR,train,We should adopt gender-neutral language
a gender-neutral language would take hundreds of years to adopt to and therefore should be abandoned,language,AGAINST,train,We should adopt gender-neutral language
A good portion of the telemarketers these days are not even human and this is illegal and Immoral,ban telemarketing,FAVOR,train,We should ban telemarketing
A government-funded Wikipedia would become a government-controlled Wikipedia.,Wikipedia,AGAINST,train,We should subsidize Wikipedia
a group can function more effectively and with greater impact when working together as opposed to individually,collectivism,AGAINST,train,We should oppose collectivism
a group of collective thoughts in line with one stance makes it greater.,collectivism,AGAINST,train,We should oppose collectivism
a high turnout is important for a proper democratic mandate and the functioning of democracy,compulsory voting,FAVOR,train,We should introduce compulsory voting
a human being at death can help others to live and through organ trade help their families live,trade,FAVOR,train,We should legalize organ trade
a human rights activist spoke out that people should not be racially profiled because they belonged to a certain group or have different colors.,profiling,FAVOR,train,We should end racial profiling
a judge allowing their own personal feelings to become involved in a ruling cause said ruling to be unfair.,limit activism,FAVOR,train,We should limit judicial activism
a judge is a credible voted in individual whose decisions should be trusted.,limit activism,AGAINST,train,We should limit judicial activism
"a judge is merely supposed to interpret whether legal issues are constitutional -- judicial activism is effectively legislating from the bench, which exceeds what the judicial branch is allowed to do.",limit activism,FAVOR,train,We should limit judicial activism
a judge is not god and therefore should not make all of the decisions.,limit activism,FAVOR,train,We should limit judicial activism
a judge is suppose to be held in a high regard and should abide by the laws they took an oath to uphold without bias.,limit activism,FAVOR,train,We should limit judicial activism
"a judge is suppose to uphold the rule of law, not alter it with their own opinions/views/beliefs.",limit activism,FAVOR,train,We should limit judicial activism
a judge should be allowed to determine the constitutionality of an argument by using their own beliefs in part.,limit activism,AGAINST,train,We should limit judicial activism
a judge shouldnt be able to show their personal views.,limit activism,FAVOR,train,We should limit judicial activism
a judges opinion should not be relevant in a decision that they make as a judge,limit activism,FAVOR,train,We should limit judicial activism
a judge's opinion should not take precedent over official laws.,limit activism,FAVOR,train,We should limit judicial activism
a judge's role is not to flaunt laws and override guidance but to enforce it. judicial activism is a step too far,limit activism,FAVOR,train,We should limit judicial activism
a jusge should be allowed to look at a crime and the situation the person was subjected to in regards to their acts as the punishment should be determined in regards to an individual situation.,limit activism,AGAINST,train,We should limit judicial activism
a jusge should be allowed to make decisions based on certain situations and circumstances and make judgement using the information and issues presented rather than a strict generalized standard.,limit activism,AGAINST,train,We should limit judicial activism
a jusge should follow the law rather than opnion as they are regarded as the highest power to judicate the laws they honor to serve and uphold.,limit activism,FAVOR,train,We should limit judicial activism
a key advantage of a multi-party system is that voters have a choice of which political party they can choose to elect.,multi-party system,FAVOR,train,We should adopt a multi-party system
a lack of confidence due to appearance can have a crippling impact on poeple's lives and cosmetic surgery can help reduce this.,ban surgery,AGAINST,train,We should ban cosmetic surgery
a lack of control means there is nobody to step in if it goes wrong,stop development cars,FAVOR,train,We should stop the development of autonomous cars
a lack of voting leads to a situation were their isn't fair representation in parliament.,compulsory voting,FAVOR,train,We should introduce compulsory voting
a language that does not include gender takes away from the personality of people.,language,AGAINST,train,We should adopt gender-neutral language
a larger group of people can often offer more value with power in numbers. there is more value to a large group with more ideas and more manpower.,collectivism,AGAINST,train,We should oppose collectivism
a legal organ trade would boost the availability of transplant organs and save lives,trade,FAVOR,train,We should legalize organ trade
"a legalised organ trade would dramatically improve the stock of transplant organs, saving lives.",trade,FAVOR,train,We should legalize organ trade
"a legalised organ trade would increase the amount of stock available for medical procedures, and allow the procedure to become safer and more regulated.",trade,FAVOR,train,We should legalize organ trade
"a legalised trade would disproportionately harm those from poorer economic backgrounds, legitimising the huge medical risks involved.",trade,AGAINST,train,We should legalize organ trade
"A legalized market would exploit the poor who, as a result of financial problems, would be the ones most likely to sell their organs.",trade,AGAINST,train,We should legalize organ trade
a lifestyle that does not hurt others should be legal,legalize polygamy,FAVOR,train,We should legalize polygamy
a lot more work and research could get done if we abandoned television.,television,FAVOR,train,We should abandon television
"a lot of gender neutral language assumes the male version of the word as the newly accepted neutral word. this doesn’t make it neutral, just assumes the male is best.",language,AGAINST,train,We should adopt gender-neutral language
"a lot of naturopaths suggest things without scientific backing, which may harm the patient.",ban naturopathy,FAVOR,train,We should ban naturopathy
a lot of the criminals fit a specific ethnicity so for security purposes and saving lives police should be allowed to racially profile in exchange for a little bit of suffering,profiling,AGAINST,train,We should end racial profiling
a lot of times the physical and emotional after effects of cosmetic surgery defeat the main purpose of getting the surgery.,ban surgery,FAVOR,train,We should ban cosmetic surgery
"a lot of times, people who homeschool aren't qualified to teach all the subjects needed for a high school  diploma.",,FAVOR,train,Homeschooling should be banned
a lot of what they do is dangerous including opposing vaccines.,ban naturopathy,FAVOR,train,We should ban naturopathy
a lot of woman who prostitute themselves were sexually assaulted themselves so it may be better to have better options.,prostitution,FAVOR,train,We should legalize prostitution
a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,compulsory voting,FAVOR,train,We should introduce compulsory voting
a majority of students are unable to pay for the high cost of attending college,student loans,FAVOR,train,We should subsidize student loans
"a man or woman has the right to do what they wish with their body, and if they choose to sell it for sex, the government should not interfere.",prostitution,FAVOR,train,We should legalize prostitution
a mandatory retirement age allows employers to be able to bring fresh talent into their workforce,end mandatory retirement,AGAINST,train,We should end mandatory retirement
"A mandatory retirement age ensures that at least some positions open up in a given profession on a predictable basis, allowing younger workers to enter as older workers exit",end mandatory retirement,AGAINST,train,We should end mandatory retirement
a mandatory retirement age helps employers regularly refresh the workforce with fresh talent,end mandatory retirement,AGAINST,train,We should end mandatory retirement
a man's place is in the workforce to provide for his family.  why should anyone else have to pay for that guy's family just because he doesn't want to go to work?,dads,AGAINST,train,We should subsidize stay-at-home dads
"a marriage is a piece of paper, nothing more.",abandon marriage,FAVOR,train,We should abandon marriage
A miniature arms race between missile defense developers and missile developers creates an arms race that costs a massive amount to any state with either industry.,abolition weapons,FAVOR,train,We should fight for the abolition of nuclear weapons
a minor does not have the mental and emotional development needed to make decisions that have long term effects,ban surgery minors,FAVOR,train,We should ban cosmetic surgery for minors
a minor is in no way responsible enough to make the decision of getting cosmetic surgery.  you see too many kids doing it because they want to look like a pop idol fad.  it is dangerous.,ban surgery minors,FAVOR,train,We should ban cosmetic surgery for minors
a minor is not old enough to make decisions on something that will change them forever,ban surgery minors,FAVOR,train,We should ban cosmetic surgery for minors
a minor is still growing so any cosmetic surgery may well result in a less than desirable result when they are fully grown.,ban surgery minors,FAVOR,train,We should ban cosmetic surgery for minors
a minor should be allowed to under go cosmetic surgery if it would improve how they see themselves and help their confidence.  such things would follow them into adulthood in a positive manner.,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
a minor should have control over their own body,ban surgery minors,AGAINST,train,We should ban cosmetic surgery for minors
a mistake could cause permanent disfigurement of a person,ban surgery,FAVOR,train,We should ban cosmetic surgery
"a modern society espousing gender equality has a duty to subsidize stay-at-home dads, just as it would support mothers - this both improves womens' career prospects, and fathers' emotional bonding.",dads,FAVOR,train,We should subsidize stay-at-home dads
a mulit-party system is needed because there are more opinions than just democrat and repulblican,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi party system allows far better choices for the diverse population, meaning they can find someone to vote for that they truly believe in and participate in a democracy better",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi party system allows for a larger group of qualified individuals,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi party system creates chaos by giving too many choices to the people,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi party system does not always help things. what is to say we get multiple bad choices and we have to end up choosing the lesser of two evils?,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi party system ensures that everyone’s viewpoint can be represented and taken into account rather than only a minority.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi party system helps ensure all people are represented and that no one party or faction becomes too strong. multi party systems are more equitable at all levels and not all in favor of one group.,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi party system is too volatile, there's no stability and no consistency",multi-party system,AGAINST,train,We should adopt a multi-party system
A multi party system might be too confusing because there would be too many candidates with too many opinions and would be hard to vote.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi party system will help us choose the best person for the job.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi party system will lead to the rise of fringe groups that do not represent the will of the people.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi party system would bring many new & fresh ideas into the forefront,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi party system would ensure more people get their viewpoint taken into account.,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi party system would represent all those that voted, not just those that voted for one party so a fairer system of governance would be in place.",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi party system would spend more time arguing than resolving problems and wouldn’t be beneficial.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi party sytem is not in agreement with the constitution.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-oart system allows for more options and candidates that are more in line with certain populations as not everyone has the same political views.,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-oarty system can decrease the votes of a specific candidate, making the votes misappropriated.",multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party ensures that all people and voices are heard and represented.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party is essential to allow for democracy and prevent autocratic regimes coming to power.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows a greater freedom of choice for voters to express their democratic right to vote for policies they would like to implimented.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows a greater number of views to be heard.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows a number of parties to enter government and is a benchmark of democracy.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows all political parties to be represented for all people,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for a broad range of ideas to be heard and implemented.,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-party system allows for a much more diverse spectrum of options for an individual to find the right party to vote for, to really represent them",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for diverse thinking and a larger choice for the people,multi-party system,FAVOR,train,We should adopt a multi-party system
A multi-party system allows for greater choice in whom to vote for.  It allows each citizen to vote for the party that best fits their beliefs and represents their ideology.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for greater freedom of choice and expression of opinion,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-party system allows for greater freedom of choice, as a greater number of major parties would cover more ideological viewpoints.",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for greater freedom of expression for the electorate and reduces the need to vote for who you disagree with the least,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for more choices to address the views and issues of the people that multi candidates provide.,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-party system allows for more ideas, more candidates, more voters turning out.",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for more unqualified people to get into the race,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for more views and ideals to be represented.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for the airing of more viewpoints and would require politicians to build coalitions and compromise in order to get things accomplished.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system allows for the people to choose between sets of ideas they want to govern the country.,multi-party system,FAVOR,train,We should adopt a multi-party system
A multi-party system allows open and constructive criticism of the ruling government and prevents tyranny.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system as this will ensure that all policies are agreed upon and not forced through by a small majority. it will also ensure that a wider section of beliefs and opinions is represented.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multiparty system blurs the citizenship of a vision and model of country. we should not adopt a multiparty system because it would waste valuable time to agree,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system brings diversity to the political realm which helps people better decide where there vote should go,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system can bring continued bickering and endless in-fighting to a system of government that should be as simple as 'obey the law'.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system can increase the views of the people and allow for more choices.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system can open the door to getting poor leaders out of office and creating change.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system can result of the election of someone who is supported by a small number of citizens,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system could add more complexity and create situations where issues become impossible to resolve.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system could be very beneficial as it would allow for more opinions and more choices.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system could cause too much in fighting between groups that should be cooperating.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multiparty system could increase political bureaucracy,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system could lead to more situations where a majority is not reached. this means that it could be harder to push policies through.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system could make it harder for decisions to be made as more opinions will complicate things.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system could mean that it is more difficult to agree on any answers as  it is more likely that there will not be a majority on issues.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system creates chaos.  more is not merrier in this type of case.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system enables the people to have more of a say in what happens in their country.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system encourages innovation and new ideas.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system encourages parties with different political views to work together and discourages polarising adversarial politics,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system encourages weak and unstable coalition governments that are unable to pursue radical change,multi-party system,AGAINST,train,We should adopt a multi-party system
"a multi-party system ensures that voters have the chance to elect politicians that most closely align with their believes, lessening the chance that they have to compromise on things they feel are important.",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system is clearly good for democracy. allowing opposing groups to work through their differences and give choice to the population in government elections.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system is enshrined in democracy. anyone should have his ideology and choose the party of his choice,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system is great in that it provides voters with many different candidates with different views and ideas,multi-party system,FAVOR,train,We should adopt a multi-party system
A multiparty system is less likely to cater to extremists who are now only represented by small extreme parties rather than larger parties.,multi-party system,FAVOR,train,We should adopt a multi-party system
A multiparty system is less likely to have gridlock because there are more parties that are willing to compromise.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multiparty system is more representative of the will of the people,multi-party system,FAVOR,train,We should adopt a multi-party system
A multi-party system is more responsive to a change or shift in public opinion.,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-party system is the fairest representation of all political viewpoints, and would increase the electorate's engagement with politics in general.",multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-party system is the most democratic system available, since it gives recognition to a broader canvas of viewpoints.",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system lacks stability and costs huge amounts to run as many parties all campaign for their voice to be heard,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system leads to disorganization and chaos.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system leads to too much division and there may never be an overall consensus,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system leads to unstable goverment and does not reflect the will of the people accurately,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system lets many views on important topics to be heard,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system makes it much more difficult to collaborate on ideas.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system makes sure more ideas are included.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system makes sure that one political party doesn't hold all the power.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system maximizes choice which would encourage greater voter participation.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system means that more opinions will be heard and people will get a greater choice of who to vote for.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system might allow for more and more diverse candidates to come to the forefront of each election.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system muddies the waters with too many ideas,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system never works because at the end of the day each party is out for themselves and don't work in the best interest of the people being represented.,multi-party system,AGAINST,train,We should adopt a multi-party system
"a multi-party system offers too many options and decreases the election voting for one candidate, spreading out the votes over too many options.",multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system only makes it harder to choose a presidential candidate,multi-party system,AGAINST,train,We should adopt a multi-party system
A multi-party system prevents the leadership of a single party from setting policy without challenge.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system provides more choices to insure that the people have representation for their various beliefs beyond a simple two or single-party system.,multi-party system,FAVOR,train,We should adopt a multi-party system
A multiparty system reduces tactical voting (voting for a particular person or political party in order to prevent someone else from winning).,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system results in so many different platforms that there is no cohesion and nothing gets accomplished.,multi-party system,AGAINST,train,We should adopt a multi-party system
"a multi-party system spreads votes out to thin,so as one leader can be victorious even though they did not receive the majority of the peoples' votes.",multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system weakens speed of decision making and ensures no progress is made so we should not adopt it.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system will allow for more exchange of ideas and better development of our government.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system will create confusion and deadlock.,multi-party system,AGAINST,train,We should adopt a multi-party system
"a multi-party system will give more people with differing ideas, an opportunity to run for office",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system will help to ensure that more political agendas will be given the chance to represent the people,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system will just cause more arguments and political strongholds in our government.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system will lack real leadership and will mean that policies often end up being diluted or not passed at all as a majority can not be reached.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system will lead to a better diversity of viewpoints in government.,multi-party system,FAVOR,train,We should adopt a multi-party system
A multi-party system will make it so that everyone in the country is represented well.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system will require large quantities of money that could better be used elsewhere,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system will simply lead to legislative gridlock and nothing will get accomplished.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system will split the country even more.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system would allow more people to have their ideas represented.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would allow more views to be heard and more complex debates.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would be beneficial as more than one political view in government would ensure a fairer outcome.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would be divisive at a time when we need to pursue common interests.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system would be more representative of the public will.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multiparty system would be more representative of the will of the people,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would be too confusing,multi-party system,AGAINST,train,We should adopt a multi-party system
a multiparty system would be too decentralized,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system would breath new life into a system currently dominated by same people and ideas,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-party system would bring a fairer balance to government, not leading to one extreme of politics or the other.",multi-party system,FAVOR,train,We should adopt a multi-party system
A multi-party system would bring in a lot more choice of representation for the people living in the country.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would bring more choices for people to speak up and vote.,multi-party system,FAVOR,train,We should adopt a multi-party system
A multi-party system would cause more confusion than there already is in the country and cause government to be even less effective.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system would ensure that there is an equal distribution of ideas in the political venue.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would give more groups the chance to have their political voices heard,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would give voters more choices and even out the playing field.,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would help bring new ideas,multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would help create more options for voters.,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-party system would improve the democratic process by giving more traditionally marginalised views representation, and therefore improve peoples' motivation for voting.",multi-party system,FAVOR,train,We should adopt a multi-party system
a multi-party system would introduce new ideas,multi-party system,FAVOR,train,We should adopt a multi-party system
"a multi-party system would lead to invalid elections, with no one winning the majority of votes, thus no one wins",multi-party system,AGAINST,train,We should adopt a multi-party system
A multi-party system would never get anything done as it would be nearly impossible for all of them to come into agreement about anything.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system would only lead to in fighting and less getting done.,multi-party system,AGAINST,train,We should adopt a multi-party system
"a multi-party system would pollute the polls.  there would be too many options, meaning none would get the full vote they deserve or need.",multi-party system,AGAINST,train,We should adopt a multi-party system
A multiparty system would require a complete overhaul of our democratic system.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party system would ruin the country.,multi-party system,AGAINST,train,We should adopt a multi-party system
a multi-party would not work in some countries where there is a monarchy and we should not interfere with stable regimes or try to impose our ideas on others.,multi-party system,AGAINST,train,We should adopt a multi-party system
a mult-party system makes it too confusing for voters to pick candidates if they each have good platforms,multi-party system,AGAINST,train,We should adopt a multi-party system
a new system would bring new life and create options,multi-party system,FAVOR,train,We should adopt a multi-party system
a nuclear free world would ensure humanities survival,abolition weapons,FAVOR,train,We should fight for the abolition of nuclear weapons
"a nuclear war would kill everyone and everything on the whole planet, the whole human race would be wiped out, there is no way we would ever come back.",abolition weapons,FAVOR,train,We should fight for the abolition of nuclear weapons
a one party system is a dictatorship.  russia under communism was a one party system. all people must follow the governments position without an opposing view.,multi-party system,FAVOR,train,We should adopt a multi-party system
"a parent is suppose to love a child no matter they are male or female, the natural way of determination, and sex selection makes children commodities instead of miracles.",sex selection,AGAINST,train,We should legalize sex selection
a parent knows best what is good for their kid,,AGAINST,train,Homeschooling should be banned
a parent knows their child better than anyone else and can personalize their teaching to that childs personality,,AGAINST,train,Homeschooling should be banned
"A patient should be able to decide when they have had enough ""care"".",offence,AGAINST,train,Assisted suicide should be a criminal offence
