Tweet,Target 1,Stance 1
“Cigna will stop covering OxyContin by 2018 in bid to fight America's deadly opioid addiction epidemic”… https://t.co/a5rh3YkXfC,The merge of Company Cigna and Company Express Scripts,NONE
Everybody’s gettin’ together: Cigna buys Express Scripts for $52B https://t.co/SeqK0zzv3H via @Hustle_Says,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna to buy St. Louis-based Express Scripts https://t.co/WlLXFrVBzq https://t.co/dhG6fAzEgf,The merge of Company Cigna and Company Express Scripts,FAVOR
$ESRX: Express Scripts to Acquire eviCore healthcare for $3.6 bln; Accelerates Company's Shift to Patient Benefit... https://t.co/dVf3nDsnyz,The merge of Company Cigna and Company Express Scripts,NONE
"@AlisDrumgo @CityLab #Healthcare just took a beat down due Warren Buffet &amp; Co~ prices pre-market:
Express Scripts (… https://t.co/7HclLn4CJW",The merge of Company Cigna and Company Express Scripts,NONE
#Cigna to Acquire Express Scripts #PBMs #healthcarecosts https://t.co/7jWFeZUHog https://t.co/5q1RrseaTK,The merge of Company Cigna and Company Express Scripts,FAVOR
I had DVT &amp; TIA and Xarelto used to be covered and now @ExpressScripts &amp; @AskAnthem put it on the highest tier desp… https://t.co/K9gTuawhkP,The merge of Company Cigna and Company Express Scripts,NONE
ICYMI: Cigna to acquire Express Scripts in $67 billion deal https://t.co/NH0IYmXwr0 https://t.co/GsT8Nk70DF,The merge of Company Cigna and Company Express Scripts,FAVOR
Health insurer Cigna to buy Express Scripts for about $52 billion (Reuters) - U.S. health insurer Cigna Cor https://t.co/tQNHIWD4KJ @blacq2,The merge of Company Cigna and Company Express Scripts,FAVOR
Aetna and pharmacy benefit management company Express Scripts Holding Co. have all been selling off non-core assets… https://t.co/bZsHbtz20D,The merge of Company Cigna and Company Express Scripts,NONE
"Northwell Health, Cigna reach contract agreement https://t.co/mRoNb9R0QD via @HC_Finance #healthcare",The merge of Company Cigna and Company Express Scripts,NONE
Cigna will acquire Express Scripts in a cash and stock transaction valued at approximately $67 bn… https://t.co/u6Zt9GMqvs,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna is buying massive pharma middleman Express Scripts for $67 billion in a move that changes the industry as we… https://t.co/6IoGpLCuxO,The merge of Company Cigna and Company Express Scripts,FAVOR
"Anthem to appeal judge's order blocking Cigna merger

Anthem vowed Thursday to appeal a federal judge's move to hal… https://t.co/wHuHEog8Gm",The merge of Company Cigna and Company Express Scripts,NONE
Federal Judge Blocks# Anthem’s Planned Acquisition of #Cigna by @brkend  https://t.co/B5DjwNe6oK,The merge of Company Cigna and Company Express Scripts,NONE
Express Scripts To Buy eviCore For $3.6B via @forbes https://t.co/t1q8hvFZEV #PBM #merger #acquisition #evicore,The merge of Company Cigna and Company Express Scripts,NONE
Cigna to acquire Express Scripts for $67 billion https://t.co/tUpqeANPjb via @HC_Finance,The merge of Company Cigna and Company Express Scripts,FAVOR
Express Scripts to acquire EviCore Healthcare for $3.6B https://t.co/Dkx3IZGyZo via @modrnhealthcr,The merge of Company Cigna and Company Express Scripts,NONE
"Cigna is buying Express Scripts, the nation’s largest pharmacy benefit manager, for $52 billion. What role do pharm… https://t.co/bgvqoKIpMW",The merge of Company Cigna and Company Express Scripts,FAVOR
"Deals , deals ...CI ( Cigna ) buying ESRX( Express Scripts) for combo of cash($48.75 ) and stock( 0.2434shr)",The merge of Company Cigna and Company Express Scripts,FAVOR
".@LifeFlightNtwrk enters agreement with Allegiance, Cigna for Montana transports: https://t.co/CiBtAM4zmq #HEMS… https://t.co/zdn3djRoOr",The merge of Company Cigna and Company Express Scripts,NONE
"American medical insurer Cigna has agreed on a deal to acquire Express Scripts Holding for $52 billion.
Successful… https://t.co/aWnmy9NzdO",The merge of Company Cigna and Company Express Scripts,FAVOR
"Anthem fights for Cigna all the way to the Supreme Court

Anthem is fighting all the way to the Supreme Court to ac… https://t.co/AQnPyZoN6G",The merge of Company Cigna and Company Express Scripts,NONE
CVS &amp; Aetna shareholders both voted to approve $CVS-$AET deal. But a lot has changed since then. Cigna wants to buy… https://t.co/bdrjszFPy8,The merge of Company Cigna and Company Express Scripts,FAVOR
"Express Scripts reported adjusted claims of 1.4 billion in 2017, which was flat growth from 2016. https://t.co/tfI0UrQBuW $ESRX $CI",The merge of Company Cigna and Company Express Scripts,NONE
Express Scripts to Acquire Medical Benefit Management Company https://t.co/SmIcAmj0lm #PBM,The merge of Company Cigna and Company Express Scripts,NONE
Shared via NYT: Cigna to Buy Express Scripts in $52 Billion Health Care Deal,The merge of Company Cigna and Company Express Scripts,FAVOR
American Antitrust Institute Argues Against CVS/Aetna and Cigna/Express Scripts Deals | Healthcare Analytics News… https://t.co/1amNuWwO9N,The merge of Company Cigna and Company Express Scripts,AGAINST
"Specifically, we view an acquisition of $HUM as highly
strategic and value creative; $CI note @ CSFB",The merge of Company Cigna and Company Express Scripts,NONE
Behavioral health provider inks Cigna agreement https://t.co/pJazo25U77,The merge of Company Cigna and Company Express Scripts,NONE
Cigna to acquire Express Scripts in $67B deal https://t.co/OFxzRnSj8Y,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna Is Buying Express Scripts in a $54 Billion Health Industry Deal Another move toward consolidation between ins… https://t.co/OyTHOFqLiM,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna to buy Express Scripts in $67B deal https://t.co/alXsrKoO6U via @FierceHealth,The merge of Company Cigna and Company Express Scripts,FAVOR
Avista Capital Partners to Acquire Express Scripts' Subsidiary United BioSource: https://t.co/qZ4YsTKEuw,The merge of Company Cigna and Company Express Scripts,NONE
No Q Pharmacy accepting insurances like Medicare Medicaid  CVS health  Optum CIGNA Express  scripts United heatlhca… https://t.co/Q9v4o8dicc,The merge of Company Cigna and Company Express Scripts,NONE
"#Cigna (CI US) is said to near deal to buy #ExpressScripts (ESRX US), the Wall Street Journal reported. A deal coul… https://t.co/MrGlAhNdKA",The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna just announced that they will acquire Express Scripts for $67 billion! Read more about it here: https://t.co/XoKceXPKin,The merge of Company Cigna and Company Express Scripts,FAVOR
"Northwell Health, Cigna reach contract agreement https://t.co/mRoNb9R0QD via @HC_Finance #healthcare",The merge of Company Cigna and Company Express Scripts,NONE
"#Cigna and Express scripts, responsible for #healthcare of 80 million Americans, to merge | #pharmacy https://t.co/bBdz9hPf5X",The merge of Company Cigna and Company Express Scripts,FAVOR
Shared via NYT: Cigna to Buy Express Scripts in $52 Billion Health Care Deal,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna to acquire Express Scripts for $67 billion https://t.co/Rk47x1QYga via @HC_Finance #healthcare https://t.co/ijXj7SfB9I,The merge of Company Cigna and Company Express Scripts,FAVOR
"""If VUMC (Vanderbilt University Medical Center) had not reached an agreement with Cigna, then it would have been nea…https://t.co/gT2eAeedHp",The merge of Company Cigna and Company Express Scripts,NONE
Cigna makes bid to buy drug plan middle man Express Scripts https://t.co/KiEJCeF9TB https://t.co/vARD89Fnvz,The merge of Company Cigna and Company Express Scripts,FAVOR
#UPDATE Health service provider Cigna says it had reached an agreement to acquire pharmacy benefits manager Express… https://t.co/WVRIoePFuj,The merge of Company Cigna and Company Express Scripts,FAVOR
ICYMI: #biotechnology #biotechnology STAT Plus Pharmalittle Express Scripts targets new migraine drugs; Takeda edge… https://t.co/X97gKYBPER,The merge of Company Cigna and Company Express Scripts,NONE
"BREAKING: Cigna is nearing deal to acquire Express Scripts in deal that could be announced Thursday - Dow Jones

https://t.co/YKho1O67Ek",The merge of Company Cigna and Company Express Scripts,FAVOR
"$ESRX filed Form 8-K with the SEC. Most mentioned words: prospectus, offered, statement, underwriters, agreement",The merge of Company Cigna and Company Express Scripts,NONE
Health insurer Cigna to buy Express Scripts for $52 billion https://t.co/MWntotXv5u,The merge of Company Cigna and Company Express Scripts,FAVOR
Express Scripts to Acquire Medical Benefit Management Company https://t.co/SmIcAm1ptO #PBM https://t.co/VRuRHe63sZ,The merge of Company Cigna and Company Express Scripts,NONE
I was supposed to pick up Xarelto today. @ExpressScripts @AskAnthem violated my Continuity of Care agreement. Here… https://t.co/zEhpUWYBy2,The merge of Company Cigna and Company Express Scripts,NONE
"Whoa! Cigna Nears Deal to Buy Express Scripts, Deal could be announced as soon as Thursday

https://t.co/roOUN7vP06 $CI $ESRX $CVS $AET",The merge of Company Cigna and Company Express Scripts,FAVOR
"@Cigna drops 9% after offering to acquire $ESRX for $67 billion in cash-stock deal. Based on our #CycleAnalysis, th… https://t.co/FHY85m0TG3",The merge of Company Cigna and Company Express Scripts,FAVOR
I saw $ESRX Express Scripts on Magic Formula yesterday.   Are there people that rightly anticipated the acquisition?,The merge of Company Cigna and Company Express Scripts,NONE
.@Cigna will acquire @ExpressScripts in a $67 billion deal. The deal brings health benefits and pharmacy benefits u… https://t.co/CneK5kbDxB,The merge of Company Cigna and Company Express Scripts,FAVOR
"Northwell Health, Cigna reach contract agreement https://t.co/VQNY6xE6GU",The merge of Company Cigna and Company Express Scripts,NONE
"@KrissiBex Cigna and Centura Health reached a new 5 year agreement, no interruption in coverage!",The merge of Company Cigna and Company Express Scripts,NONE
"$UNH $DVA $ESRX:

UnitedHealth Group Inc Stock Is a Buy on Davita Acquisition:

https://t.co/SVZFK2fshP",The merge of Company Cigna and Company Express Scripts,NONE
Health insurer Cigna to buy Express Scripts for about $53 billion (Reuters) - Cigna Corp https://t.co/fiAzhAnrGA @silewconsulting @blacq2,The merge of Company Cigna and Company Express Scripts,FAVOR
"$CELG $BIIB $CI $ESRX:

In broad healthcare bets, small stocks favored over large:

https://t.co/Dfoww5CVYf",The merge of Company Cigna and Company Express Scripts,NONE
$ESRX #Express Scripts Holding Co Express Scripts is one of the most powerful players along the drug supply chain.:… https://t.co/7tqZYwtyEN,The merge of Company Cigna and Company Express Scripts,NONE
#Healthcare Mergermania (and fear of @amazon) continues: @Cigna to acquire @ExpressScripts for $67B #healthItchicks… https://t.co/m1lLG0Dp7x,The merge of Company Cigna and Company Express Scripts,FAVOR
"Dragonfly Capital - 5 Trade Ideas for Monday: Anadarko, CF, Cigna, Express Scripts &amp; Intercontinental Exchangehttps://tmblr.co/Zjsg5q2X5ffpn",The merge of Company Cigna and Company Express Scripts,NONE
ICYMI: Cigna agrees to buy Express Scripts for $67 billion https://t.co/uZeCAcMz5R,The merge of Company Cigna and Company Express Scripts,FAVOR
More major merger drama: there's a lot of noise around regulatory concern of Express Scripts deal. Is AT&amp;T's acquis… https://t.co/uoTQGfxtvw,The merge of Company Cigna and Company Express Scripts,AGAINST
@CapitolistPig WBA was interested about a year or so ago.  Good point about ESRX acquisition.,The merge of Company Cigna and Company Express Scripts,NONE
Another big health care merger. Cigna buying Express Scripts for $67 billion. $ESRX up 15% #premarket. $CI down 2%. https://t.co/yGwdimLboj,The merge of Company Cigna and Company Express Scripts,FAVOR
@ExpressRxHelp my pharmacist was telling me that Cigna is buying or the deal is already done with  Express Scripts.… https://t.co/7cwxDVSstY,The merge of Company Cigna and Company Express Scripts,FAVOR
"Cigna is buying Express Scripts, a deal valued at about $67 billion https://t.co/pgHDcGRMWT",The merge of Company Cigna and Company Express Scripts,FAVOR
New post (Cigna to Buy Express Scripts in $52 Billion Health Care Deal) has been published on… https://t.co/sJ6yldiYnP,The merge of Company Cigna and Company Express Scripts,FAVOR
@Cigna @USCongressTwts Cigna announced that it will acquire the equity of @ExpressScripts Scripts for $52- $54 bill… https://t.co/8Ue3AjJmi9,The merge of Company Cigna and Company Express Scripts,FAVOR
@kima4BC @john_moynihan03 @krassenstein @AARP @ATT @Chewy @Cigna @GEICO @IBM @JennyCraig @LegalZoom If they do not… https://t.co/GbKaMchwR5,The merge of Company Cigna and Company Express Scripts,NONE
Health insurer Cigna is close to buying Express Scripts: Report #markets #buyout #finance $CI $ESRX #Health  https://t.co/jqbjysVEg8,The merge of Company Cigna and Company Express Scripts,FAVOR
"Long $ESRX here, $3 downside $18 up. No brainer...

Going to be a long year gaining regulatory approvals, but will… https://t.co/71f32IlvVx",The merge of Company Cigna and Company Express Scripts,NONE
"#Insurance company #Cigna announced the purchase of pharmacy benefit manager Express Scripts, which operates as the… https://t.co/2kRYDyNwIG",The merge of Company Cigna and Company Express Scripts,FAVOR
Analyst: Humana possible takeover target of Cigna https://t.co/rJA0mHB1dz,The merge of Company Cigna and Company Express Scripts,NONE
Express Scripts Holding Co. announced this week that Ron Guerrier will be the company’s new chief information offic… https://t.co/xXn8PelbgA,The merge of Company Cigna and Company Express Scripts,NONE
"UPDATE: Express Scripts shares drop 2.5% on $3.6 bln eviCore acquisition
https://t.co/qDAvVsyEoV
$ESRX #ESRX",The merge of Company Cigna and Company Express Scripts,NONE
@insureblog Heh. One addendum too. Express scripts will likely sell/merge. And stl loses yet another corporate hq,The merge of Company Cigna and Company Express Scripts,NONE
"$OCLR thought this was going to be a good fader just like $ESRX buyout the other day, took it after crossed both st… https://t.co/6khImzC2hV",The merge of Company Cigna and Company Express Scripts,NONE
"DIGITAL HEALTH BRIEFING: Amazon Echo, Alexa get prescription price checks through GoodRx — Cigna acquire.. #tech https://t.co/7Fn4UxyxQX",The merge of Company Cigna and Company Express Scripts,NONE
Exciting news from @PULSEMC partner @Cigna about their acquisition of #Brighter. Great to see them continuing to in… https://t.co/vkl1Lgxels,The merge of Company Cigna and Company Express Scripts,NONE
$esrx why the stock is not soaring considering the 93 per stock aprox buyout????,The merge of Company Cigna and Company Express Scripts,NONE
We have reached an agreement with @Cigna to keep all Northwell entities within the Cigna network. What patients nee… https://t.co/MdSh0GQ2nl,The merge of Company Cigna and Company Express Scripts,NONE
@ArbitrageGod $ESRX getting hammered for its acquisition as well https://t.co/mwquXgkkh5,The merge of Company Cigna and Company Express Scripts,NONE
Express Scripts to acquire eviCore healthcare for $3.6B https://t.co/FeXDF379Lf,The merge of Company Cigna and Company Express Scripts,NONE
#BreakingNews Health insurer Cigna to buy Express Scripts in $67 billion deal https://t.co/Hnth3an9iC https://t.co/Eze0LH7IkC,The merge of Company Cigna and Company Express Scripts,FAVOR
"Health insurer Cigna is nearing a deal to buy Express Scripts, a pharmacy-benefit manager valued at $41 billion
https://t.co/hpYnlSXFap",The merge of Company Cigna and Company Express Scripts,FAVOR
"Express Scripts stock turns 📉 lower, 📉 downs 2.5% premarket after eviCore buyout deal https://t.co/eqmOxXELx4 MARKETWATCH",The merge of Company Cigna and Company Express Scripts,NONE
PSSNY Opposes Cigna-Express Scripts Merger and Resulting Increased Market Concentration #SaveCommunityPharmacy  https://t.co/yQyB9hU86z,The merge of Company Cigna and Company Express Scripts,AGAINST
#Cigna to Acquire Express Scripts #PBMs #healthcarecosts https://t.co/WoKQRVpD16,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna Nears Deal to Buy Express Scripts https://t.co/z5sIW4yGPH,The merge of Company Cigna and Company Express Scripts,FAVOR
"#BREAKING: Major #STL area business, @ExpressScripts, has come to a sale agreement with CT-based insurance company… https://t.co/YFJhRZS5bQ",The merge of Company Cigna and Company Express Scripts,FAVOR
Huge WSJ scoop: Cigna is close to acquiring Express Scripts. https://t.co/2pssigskDU,The merge of Company Cigna and Company Express Scripts,FAVOR
"Health Insurer Cigna To Buy Express Scripts For About $54 Billion

The combined company will be led by current Cign… https://t.co/XDoo2Udg2C",The merge of Company Cigna and Company Express Scripts,FAVOR
"$CI $ESRX
Health insurer Cigna to buy Express Scripts in $67 billion deal - https://t.co/SDhj7l3akZ",The merge of Company Cigna and Company Express Scripts,FAVOR
"ExpressScripts donates 10k to Greitens inauguration and they now receive 250,000 NO BID contract. #coincidenceithinknot",The merge of Company Cigna and Company Express Scripts,NONE
"Cigna expects the $52 billion merger with Express Scripts to close by the end of 2018, but an ongoing review by the… https://t.co/S6tSx0KC3C",The merge of Company Cigna and Company Express Scripts,FAVOR
Trending News Today: Cigna-Express Scripts Merger Faces Antitrust Uncertainty - Specialty Pharmacy Times https://t.co/pC12y9jWea,The merge of Company Cigna and Company Express Scripts,AGAINST
"@Ophelia22345 The CEO of Cigna met w/ @realDonaldTrump at the WH.  Trump started charging, for the first time, mili… https://t.co/ZfJFvEEDNI",The merge of Company Cigna and Company Express Scripts,NONE
BRIEF-Cigna Entered Into Fifth Amended And Restated Revolving Credit Agreement With Lenders #Reuters - Company https://t.co/E6GsOVJJUi,The merge of Company Cigna and Company Express Scripts,NONE
"JUST IN: The insurer @Cigna will spend about $52 billion to acquire the nation's biggest pharmacy benefit manager,… https://t.co/igr3X9ri87",The merge of Company Cigna and Company Express Scripts,FAVOR
Is Humana preparing for Express Scripts or Cigna merger? https://t.co/L1jhxqE8ez,The merge of Company Cigna and Company Express Scripts,NONE
Express Scripts Shares Leap on $67 Billion Cigna Takeover Play - TheStreet https://t.co/Y0YOY558sX,The merge of Company Cigna and Company Express Scripts,FAVOR
Deal Dead? Express Scripts Has 28% Upside to Cigna Buyout Offer Price https://t.co/XCXr6JqTV6 #ValueInvesting News,The merge of Company Cigna and Company Express Scripts,AGAINST
Cigna Is Nearing A Deal to Buy Express Scripts -- Sources $CI $ESRX,The merge of Company Cigna and Company Express Scripts,FAVOR
Woof. Cigna acquisition of Express Scripts could be as high as $50B  https://t.co/pbotZf4ICW,The merge of Company Cigna and Company Express Scripts,FAVOR
"Express Scripts Holding Co. has wrapped up its $3.6 billion acquisition of eviCore healthcare, a privately held med… https://t.co/JKmle9GXsG",The merge of Company Cigna and Company Express Scripts,NONE
The health insurance giant Cigna has agreed to buy the pharmacy benefits manager Express Scripts https://t.co/p8R0EC3m2u,The merge of Company Cigna and Company Express Scripts,FAVOR
"@Candi Opportunity to show you how we have helped other companies’ like Microsoft, CIGNA, and Bill &amp; Melinda Gates… https://t.co/zf2IGs9hfb",The merge of Company Cigna and Company Express Scripts,NONE
Cigna to Buy Express Scripts in Big PBM Move - https://t.co/z2ZY4dssD5 -,The merge of Company Cigna and Company Express Scripts,FAVOR
"RT axios ""The DOJ has asked Cigna and Express Scripts to turn over more documents in its review of the proposed $52… https://t.co/tjCmLID6aU",The merge of Company Cigna and Company Express Scripts,AGAINST
"Express Scripts stock turns lower, falls 2.5% premarket after eviCore buyout deal https://t.co/HQ5FcYSFUN https://t.co/ljyan0SJRe - Real-t…",The merge of Company Cigna and Company Express Scripts,NONE
Consolidation of insurers and drugs firms is the new fad in healthcare https://t.co/EbE7XesgqD #Cigna #insurance… https://t.co/W3uAlmIweK,The merge of Company Cigna and Company Express Scripts,NONE
Express Scripts diversifies with $3.6 billion eviCore acquisition https://t.co/2S7KhI9ugi https://t.co/xZQH17nPlq,The merge of Company Cigna and Company Express Scripts,NONE
Insurance News:Justice Department to Review Cigna’s Bid to Buy Express Scripts,The merge of Company Cigna and Company Express Scripts,AGAINST
Excited to head from Tim Wentworth at @ExpressScripts about his commitment to community involvement. Personally and… https://t.co/e2AmzQTiwa,The merge of Company Cigna and Company Express Scripts,NONE
"With Standalone PBMs Under Fire, Cigna Closes In On Express Scripts via @forbes https://t.co/amsAGOPA3T $CI $ESRX #PBM",The merge of Company Cigna and Company Express Scripts,FAVOR
#ICYMI $CI plans to buy $ESRX for a cool $67B https://t.co/Nr1kVLJFS6 via @healthcaredive,The merge of Company Cigna and Company Express Scripts,FAVOR
Cigna move to buy Express Scripts: Bernstein skeptical https://t.co/SFZRwlke3K,The merge of Company Cigna and Company Express Scripts,FAVOR
@Cigna I have a client who has tried for 3 months to get a copy of her provider agreement from Cigna. What does she… https://t.co/fFV7N09lBX,The merge of Company Cigna and Company Express Scripts,NONE
CVS buys Aetna. Three corporate behemoths join forces to reduce costs for their populations. Cigna acquires Express… https://t.co/JDyBA2qWGo,The merge of Company Cigna and Company Express Scripts,FAVOR
"Stocks that dropped with the announcement:

UnitedHealth Group 6%
Cigna 6%
Aetna 3%
CVS Health 5%
Walgreens Boots A… https://t.co/qO5qZarH5R",The merge of Company Cigna and Company Express Scripts,NONE
We Accept Medicare as a preferred provider for most  Medicaid AHCCCS  Express scripts CIGNA Blue cross blue shield… https://t.co/qXvLnPaXea,The merge of Company Cigna and Company Express Scripts,NONE
"To recap:

CVS buys Aetna for $69B in October

Cigna buys Express Scripts for $54B in March

Walmart in talks to bu… https://t.co/hl1P5H8ATU",The merge of Company Cigna and Company Express Scripts,FAVOR
"BREAKING: Cigna is nearing deal to acquire Express Scripts in deal that could be announced Thursday - Dow Jones

https://t.co/jn8limUSe7",The merge of Company Cigna and Company Express Scripts,FAVOR
"Breakfast Technical Briefing on Health Care Plans Stocks -- Express Scripts, Aetna, Cigna, and Anthem",The merge of Company Cigna and Company Express Scripts,NONE
"Amazon Could Buy Walgreens, Rite Aid, Express Scripts - As Walgreens ditches its Rite Aid buyout, the ecommerce... https://t.co/5V1dvcRhTo",The merge of Company Cigna and Company Express Scripts,NONE
HEDGE rewind ⏪ Runaway costs prompt Cigna to purchase Express Scrips for $67 billion $CI $ESRX https://t.co/ZOS5ovgyE2 #afp #drugs,The merge of Company Cigna and Company Express Scripts,FAVOR
UPDATE: Express Scripts shares drop 2.5% on $3.6 bln eviCore acquisition: Express Scripts H.. #marketwatch #news https://t.co/8RY5X2wySl,The merge of Company Cigna and Company Express Scripts,NONE
$ESRX agrees to be acquired by $CI; each ESRX share to be exchanged for $48.75 + 0.2434 CI shares; expected complet… https://t.co/eAkIvrypTa,The merge of Company Cigna and Company Express Scripts,FAVOR
"Health insurance giant Cigna is buying Express Scripts, the company that administers prescription drug insurance pl… https://t.co/51hestcf1Y",The merge of Company Cigna and Company Express Scripts,FAVOR
"@IngrahamAngle @realDonaldTrump He needs to block @cvshealth acquisition of @Aetna, and @Cigna acquisition of… https://t.co/wN2XPEAZvh",The merge of Company Cigna and Company Express Scripts,AGAINST
"#News on #NYTimes ""Cigna to Buy Express Scripts in $52 Billion Health Care Deal"" by KATIE THOMAS, REED ABELSON and… https://t.co/2gNEPoBn1u",The merge of Company Cigna and Company Express Scripts,FAVOR
